縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各建物型態合計棟數,不含車位_公寓棟數,不含車位_透天厝棟數,不含車位_店面(店舖)棟數,不含車位_辦公商業大樓棟數,不含車位_住宅大樓棟數,不含車位_華廈棟數,不含車位_套房棟數,不含車位_工廠棟數,不含車位_廠辦棟數,不含車位_農舍棟數,不含車位_倉庫棟數,不含車位_其他建物型態棟數,不含車位_各建物型態合計面積,不含車位_公寓面積,不含車位_透天厝面積,不含車位_店面(店舖)面積,不含車位_辦公商業大樓面積,不含車位_住宅大樓面積,不含車位_華廈面積,不含車位_套房面積,不含車位_工廠面積,不含車位_廠辦面積,不含車位_農舍面積,不含車位_倉庫面積,不含車位_其他建物型態面積,不含車位_各建物型態整體中位數房價,不含車位_公寓中位數房價,不含車位_透天厝中位數房價,不含車位_店面(店舖)中位數房價,不含車位_辦公商業大樓中位數房價,不含車位_住宅大樓中位數房價,不含車位_華廈中位數房價,不含車位_套房中位數房價,不含車位_工廠中位數房價,不含車位_廠辦中位數房價,不含車位_農舍中位數房價,不含車位_倉庫中位數房價,不含車位_其他建物型態中位數房價,含車位_各建物型態合計棟數,含車位_公寓棟數,含車位_透天厝棟數,含車位_店面(店舖)棟數,含車位_辦公商業大樓棟數,含車位_住宅大樓棟數,含車位_華廈棟數,含車位_套房棟數,含車位_工廠棟數,含車位_廠辦棟數,含車位_農舍棟數,含車位_倉庫棟數,含車位_其他建物型態棟數,含車位_各建物型態合計面積,含車位_公寓面積,含車位_透天厝面積,含車位_店面(店舖)面積,含車位_辦公商業大樓面積,含車位_住宅大樓面積,含車位_華廈面積,含車位_套房面積,含車位_工廠面積,含車位_廠辦面積,含車位_農舍面積,含車位_倉庫面積,含車位_其他建物型態面積,含車位_各建物型態整體中位數房價,含車位_公寓中位數房價,含車位_透天厝中位數房價,含車位_店面(店舖)中位數房價,含車位_辦公商業大樓中位數房價,含車位_住宅大樓中位數房價,含車位_華廈中位數房價,含車位_套房中位數房價,含車位_工廠中位數房價,含車位_廠辦中位數房價,含車位_農舍中位數房價,含車位_倉庫中位數房價,含車位_其他建物型態中位數房價,資料時間
10002,宜蘭縣,10002010,宜蘭市,974,104,568,35,2,23,146,71,,1,20,,4,48229.77,3090.62,33097.01,2619.29,46.48,813.8,4835.67,932.38,,74.26,1250.43,,1469.84,7500000,3600000,10800000,20000000,3000000,4500000,4500000,1800000,,7310000,12250000,,400000,149,5,1,7,,24,109,3,,,,,,7607.25,205.39,74.63,678.71,,1323.82,5253.53,71.16,,,,,,6180000,4780000,13000000,30000000,,7050000,6031200,2650000,,,,,,"105Y"
10002,宜蘭縣,10002020,羅東鎮,619,91,244,16,5,46,130,69,,,6,,12,26566.89,2531.09,13450.15,776.3,444.56,1242.33,4873.13,923.36,,,466.54,,1859.43,5100000,3500000,9700000,11050000,45000000,4900000,4325000,2050000,,,14925000,,7125000,76,3,1,1,4,13,50,1,,,,,3,3755.99,121.27,69.6,60.03,521.67,843.69,1953.5,30.45,,,,,155.78,5705000,5600000,7800000,16250000,21500000,6870000,5575000,4500000,,,,,4450000,"105Y"
10002,宜蘭縣,10002030,蘇澳鎮,212,10,172,4,1,3,7,3,2,5,,,5,11808.19,329.3,9010.96,253.92,151.4,109.61,260.5,29.78,755.93,558.15,,,348.65,5040000,1265000,5650000,9500000,6000000,2800000,2200000,738000,60500000,6951648,,,4366667,1,,,,,,1,,,,,,,42,,,,,,42,,,,,,,3950000,,,,,,3950000,,,,,,,"105Y"
10002,宜蘭縣,10002040,頭城鎮,136,7,66,,,4,13,45,,1,,,,5552.81,238.21,3294.97,,,95.87,484.36,927.01,,512.4,,,,5730000,2700000,6000000,,,6165000,3920000,5950000,,22134299,,,,41,,,,,8,4,29,,,,,,1467.64,,,,,309.01,148.25,1010.38,,,,,,7680000,,,,,9065000,3440000,7620000,,,,,,"105Y"
10002,宜蘭縣,10002050,礁溪鄉,669,29,207,,7,33,55,314,,,22,,2,24664.88,655.28,12373.47,,195.15,1365.57,1446.29,6787.79,,,1820.12,,21.22,7200000,3500000,10000000,,13560000,13500000,4420000,6645000,,,19875000,,3505850,40,,1,,,14,7,18,,,,,,1973.94,,63.06,,,884.11,314.21,712.56,,,,,,9885000,,7400000,,,18525000,10000000,8660000,,,,,,"105Y"
10002,宜蘭縣,10002060,壯圍鄉,223,9,187,,,,8,,1,,16,,2,12977.27,299.05,10586.12,,,,329.56,,108,,1620.89,,33.65,8520000,2500000,8590000,,,,2869000,,25000000,,13500000,,3250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"105Y"
10002,宜蘭縣,10002070,員山鄉,194,3,127,3,,,2,,3,,54,,2,12438.88,91.64,7983.77,126.43,,,59.01,,199.79,,3952.68,,25.56,8000000,3500000,7360000,8200000,,,3450000,,10000000,,12625000,,6050000,29,,24,,,,5,,,,,,,2153.75,,1954.16,,,,199.59,,,,,,,12100000,,12150000,,,,3980000,,,,,,,"105Y"
10002,宜蘭縣,10002080,冬山鄉,453,21,356,4,,,12,1,5,,45,,9,26011.3,559.18,19759.61,211.88,,,422.67,14.49,892.3,,3829.71,,321.47,8230000,2660000,8200000,12500000,,,5275000,1560000,14550000,,15000000,,5500000,6,1,1,,,,3,,,,,,1,250.48,44.09,53.41,,,,114.58,,,,,,38.39,5980000,2680000,6600000,,,,6160000,,,,,,2940000,"105Y"
10002,宜蘭縣,10002090,五結鄉,422,11,311,,,10,27,32,5,7,16,,3,25542.96,339.81,17786.04,,,240.72,780.6,514.64,2607.77,1884.91,1358.97,,29.5,7800000,3650000,8600000,,,3900000,2860000,1525000,37500000,19925000,18000000,,4800000,68,11,5,,,27,16,1,,,,,8,3249.04,521.74,396.85,,,1255.86,697.08,11.96,,,,,365.55,5925000,2800000,10400000,,,9420000,4850000,2500000,,,,,2750000,"105Y"
10002,宜蘭縣,10002100,三星鄉,206,2,154,2,,,,,,,43,,5,12554.12,47.5,9112.06,66.97,,,,,,,3170.17,,157.41,8126950,2225000,8111950,6475000,,,,,,,12000000,,9000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"105Y"
