縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各建物型態合計棟數,不含車位_公寓棟數,不含車位_透天厝棟數,不含車位_店面(店舖)棟數,不含車位_辦公商業大樓棟數,不含車位_住宅大樓棟數,不含車位_華廈棟數,不含車位_套房棟數,不含車位_工廠棟數,不含車位_廠辦棟數,不含車位_農舍棟數,不含車位_倉庫棟數,不含車位_其他建物型態棟數,不含車位_各建物型態合計面積,不含車位_公寓面積,不含車位_透天厝面積,不含車位_店面(店舖)面積,不含車位_辦公商業大樓面積,不含車位_住宅大樓面積,不含車位_華廈面積,不含車位_套房面積,不含車位_工廠面積,不含車位_廠辦面積,不含車位_農舍面積,不含車位_倉庫面積,不含車位_其他建物型態面積,不含車位_各建物型態整體中位數房價,不含車位_公寓中位數房價,不含車位_透天厝中位數房價,不含車位_店面(店舖)中位數房價,不含車位_辦公商業大樓中位數房價,不含車位_住宅大樓中位數房價,不含車位_華廈中位數房價,不含車位_套房中位數房價,不含車位_工廠中位數房價,不含車位_廠辦中位數房價,不含車位_農舍中位數房價,不含車位_倉庫中位數房價,不含車位_其他建物型態中位數房價,含車位_各建物型態合計棟數,含車位_公寓棟數,含車位_透天厝棟數,含車位_店面(店舖)棟數,含車位_辦公商業大樓棟數,含車位_住宅大樓棟數,含車位_華廈棟數,含車位_套房棟數,含車位_工廠棟數,含車位_廠辦棟數,含車位_農舍棟數,含車位_倉庫棟數,含車位_其他建物型態棟數,含車位_各建物型態合計面積,含車位_公寓面積,含車位_透天厝面積,含車位_店面(店舖)面積,含車位_辦公商業大樓面積,含車位_住宅大樓面積,含車位_華廈面積,含車位_套房面積,含車位_工廠面積,含車位_廠辦面積,含車位_農舍面積,含車位_倉庫面積,含車位_其他建物型態面積,含車位_各建物型態整體中位數房價,含車位_公寓中位數房價,含車位_透天厝中位數房價,含車位_店面(店舖)中位數房價,含車位_辦公商業大樓中位數房價,含車位_住宅大樓中位數房價,含車位_華廈中位數房價,含車位_套房中位數房價,含車位_工廠中位數房價,含車位_廠辦中位數房價,含車位_農舍中位數房價,含車位_倉庫中位數房價,含車位_其他建物型態中位數房價,資料時間
65000,新北市,65000010,板橋區,3274,1464,80,58,12,1198,182,265,1,10,,,4,93703.9,36877.58,2401.6,1577.22,483.87,42542.14,5287.09,3422.14,25.13,909.94,,,177.19,9800000,8300000,14890000,16000000,11525000,15430000,11500000,6180000,7900000,29700000,,,10950000,564,5,,7,9,420,109,12,,2,,,,27225.83,150.11,,199.29,783.01,21071.75,4470.5,261.76,,289.4,,,,16800000,10500000,,10550000,30000000,18000000,14260000,9640000,,34900000,,,,"108Y"
65000,新北市,65000020,三重區,2533,1011,103,44,12,1036,205,94,9,19,,,,79217.28,23043.58,3171.07,1227.07,588.66,40918.89,6238.65,1270.17,1003.45,1755.74,,,,9600000,7000000,11000000,15340000,10025000,15074000,10700000,5090000,29000000,28000000,,,,440,,1,8,14,316,67,8,1,25,,,,22769.81,,77.22,241.58,1217.86,15750.84,2920.91,182.89,63.11,2315.4,,,,16250000,,23000000,17750000,20215000,16950000,14080000,7525000,16200000,21735000,,,,"108Y"
65000,新北市,65000030,中和區,3340,1292,67,61,54,1306,189,313,8,33,,,17,105603.66,34243.74,2352.21,1814.62,2313.22,48996.67,5915.31,4163.71,1463.6,3769.04,,,571.55,10200000,8300000,11900000,12500000,15785000,14280000,11680000,5600000,34400000,25805500,,,13500000,722,20,3,6,15,474,96,22,3,80,,,3,42509.51,809.51,194.96,288.36,3159.51,22745.13,4183.65,477.9,308.55,10258.84,,,83.11,16500000,10525000,10600000,21900000,26500000,16650000,13940000,6375000,20300000,32000000,,,9800000,"108Y"
65000,新北市,65000040,永和區,1620,712,52,42,11,520,150,133,,,,,,46777.19,19009.81,863.09,1116.14,320.52,19175.58,4521.31,1770.74,,,,,,11255000,9965000,11692500,17300000,12500000,15600000,12875000,6150000,,,,,,218,1,,,1,149,55,12,,,,,,10219.83,36.4,,,42.6,7492.18,2368.97,279.69,,,,,,18310000,12560000,,,15700000,19580000,18000000,7825000,,,,,,"108Y"
65000,新北市,65000050,新莊區,3875,943,63,87,284,1955,309,98,27,18,,,91,134695.46,24329.16,2694.14,2939.53,12298.59,74283.57,9410.89,1504.08,3230.73,1559.29,,,2445.48,10000000,6800000,12500000,16000000,15655000,12500000,9100000,4725000,31000000,23300000,,,8300000,829,13,6,13,10,581,178,13,,15,,,,42842.81,538.2,579.69,441.2,599.96,29406.36,8092.07,284.21,,2901.12,,,,13580000,10600000,23297029,10900000,18050000,14200000,12500000,6000000,,39202650,,,,"108Y"
65000,新北市,65000060,新店區,2345,689,134,49,5,960,286,115,2,10,,,95,81558.72,20602.56,7111.48,1516.05,184.57,34362.71,10196.24,1593.33,165.2,2368.87,,,3457.74,10750000,9200000,11690000,20000000,7458800,12425000,9910000,6630000,23490000,28500000,,,9580000,1007,78,150,,4,572,154,8,,28,,1,12,66952.98,3364.21,19674,,531.39,30247.61,7285.28,177.12,,4881.99,,334.97,456.42,16450000,7340000,63951459,,44200000,16550000,13710000,8125000,,47450000,,78500000,11705000,"108Y"
65000,新北市,65000070,樹林區,1090,308,74,11,,425,190,32,35,12,2,,1,43089.39,8473.12,3398.16,494.35,,18432.44,6135.14,493.33,4506.19,1023.43,45.92,,87.3,7980000,5880000,11900000,14680000,,11130000,7580000,4255000,27008000,25750000,1700000,,8000000,465,11,12,4,1,338,84,7,5,3,,,,25965.18,470.23,1209.5,408.4,37.75,18429.57,4283.68,169.65,556.88,399.52,,,,12100000,9160000,22400000,52290000,12800000,12225000,11000000,5550000,18000000,14200000,,,,"108Y"
65000,新北市,65000080,鶯歌區,697,128,79,17,,349,91,6,23,3,1,,,29922.33,3528.64,3471.97,594.96,,11911.07,2966.81,86.78,7152.76,151.51,57.84,,,6150000,3650000,7100000,11540000,,6572566,5600000,2675000,100000000,7100000,44000000,,,163,8,24,2,4,54,69,2,,,,,,8730.84,359.69,2476.4,141.63,69.36,2557.86,3068.9,57,,,,,,7900000,6250000,30450000,12500000,3068750,8000000,7600000,4025000,,,,,,"108Y"
65000,新北市,65000090,三峽區,811,80,67,20,,373,159,105,4,1,2,,,27446.58,2158.96,3095.73,758.41,,14146.05,5223.02,1267.96,388.71,159.37,248.37,,,7000000,4575000,8000000,12950000,,8050000,6860000,3600000,32500000,35000000,17250000,,,539,2,8,8,,430,85,6,,,,,,25691.38,109.44,577.96,415,,20631.61,3830.25,127.13,,,,,,11500000,8100000,8665000,13250000,,11725000,9050000,5575000,,,,,,"108Y"
65000,新北市,65000100,淡水區,2357,246,50,24,3,1379,250,387,9,1,,2,6,76206.77,7125.75,3115.02,675.01,200.67,49553.44,8884.32,5360.49,1069.5,24.83,,23.3,174.45,6350000,4500000,11190000,9855000,9180000,7300000,6700000,2700000,20000000,5300000,,4100000,7375000,1359,23,29,6,4,1095,158,38,1,2,,,3,71831.13,1097.01,2481.79,274.09,429.75,54680.02,7457.42,959.09,38.26,159.93,,,4253.77,9450000,9550000,15580000,17640000,24840000,9400000,9550000,5399000,10600000,14375000,,,13900000,"108Y"
