縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各建物型態合計棟數,不含車位_公寓棟數,不含車位_透天厝棟數,不含車位_店面(店舖)棟數,不含車位_辦公商業大樓棟數,不含車位_住宅大樓棟數,不含車位_華廈棟數,不含車位_套房棟數,不含車位_工廠棟數,不含車位_廠辦棟數,不含車位_農舍棟數,不含車位_倉庫棟數,不含車位_其他建物型態棟數,不含車位_各建物型態合計面積,不含車位_公寓面積,不含車位_透天厝面積,不含車位_店面(店舖)面積,不含車位_辦公商業大樓面積,不含車位_住宅大樓面積,不含車位_華廈面積,不含車位_套房面積,不含車位_工廠面積,不含車位_廠辦面積,不含車位_農舍面積,不含車位_倉庫面積,不含車位_其他建物型態面積,不含車位_各建物型態整體中位數房價,不含車位_公寓中位數房價,不含車位_透天厝中位數房價,不含車位_店面(店舖)中位數房價,不含車位_辦公商業大樓中位數房價,不含車位_住宅大樓中位數房價,不含車位_華廈中位數房價,不含車位_套房中位數房價,不含車位_工廠中位數房價,不含車位_廠辦中位數房價,不含車位_農舍中位數房價,不含車位_倉庫中位數房價,不含車位_其他建物型態中位數房價,含車位_各建物型態合計棟數,含車位_公寓棟數,含車位_透天厝棟數,含車位_店面(店舖)棟數,含車位_辦公商業大樓棟數,含車位_住宅大樓棟數,含車位_華廈棟數,含車位_套房棟數,含車位_工廠棟數,含車位_廠辦棟數,含車位_農舍棟數,含車位_倉庫棟數,含車位_其他建物型態棟數,含車位_各建物型態合計面積,含車位_公寓面積,含車位_透天厝面積,含車位_店面(店舖)面積,含車位_辦公商業大樓面積,含車位_住宅大樓面積,含車位_華廈面積,含車位_套房面積,含車位_工廠面積,含車位_廠辦面積,含車位_農舍面積,含車位_倉庫面積,含車位_其他建物型態面積,含車位_各建物型態整體中位數房價,含車位_公寓中位數房價,含車位_透天厝中位數房價,含車位_店面(店舖)中位數房價,含車位_辦公商業大樓中位數房價,含車位_住宅大樓中位數房價,含車位_華廈中位數房價,含車位_套房中位數房價,含車位_工廠中位數房價,含車位_廠辦中位數房價,含車位_農舍中位數房價,含車位_倉庫中位數房價,含車位_其他建物型態中位數房價,資料時間
65000,新北市,65000010,板橋區,3366,1479,112,19,1,1458,231,61,1,2,,1,1,95346.93,37470.63,4343.96,596.6,12.47,44726,6734.35,839.44,111.48,304.03,,153.59,54.36,10355000,8600000,14500000,19500000,5320000,13040000,11350000,7700000,42360000,31000000,,3500000,12300000,713,4,,2,2,597,98,6,,4,,,,34417.09,234.02,,70.46,207.65,28845.24,4328.3,136.65,,594.78,,,,17370000,16400000,,12100000,33375000,18000000,14350000,11530000,,27250000,,,,"109Y"
65000,新北市,65000020,三重區,2691,1155,90,12,2,1113,218,83,7,11,,,,80797.28,26513.2,3761.75,321.03,33.79,39581.9,7830.27,1258.44,546.16,950.73,,,,9360000,7100000,14085000,13250000,6830000,14100000,11600000,8000000,6750000,20250000,,,,566,2,,1,4,427,119,4,1,8,,,,32335.42,73.3,,35.9,184.83,22214.36,8339.46,93.87,192.9,1200.81,,,,17350000,12250000,,26000000,9987500,17280000,17550000,7610000,65000000,25290000,,,,"109Y"
65000,新北市,65000030,中和區,3452,1324,80,24,18,1618,247,117,2,13,,,9,117703.21,35038.83,6279.26,725.94,551.32,62567.6,8260.7,1607.54,1380.73,1014.7,,,276.58,10900000,8800000,20500000,18670000,12590000,14300000,11500000,5600000,211475000,28000000,,,11300000,738,24,5,2,13,495,156,10,7,25,,,1,41713.62,1084.82,405.04,106.1,979.3,26637.72,9086.41,221.24,615.69,2538.96,,,38.34,17500000,12640000,28500000,27140000,28050000,17500000,17000000,7480000,23216667,26500000,,,14100000,"109Y"
65000,新北市,65000040,永和區,1712,775,22,15,12,703,141,44,,,,,,51025.82,20948.94,569.59,505.79,505.62,24200.35,3783.73,511.81,,,,,,12000000,10500000,13250000,19800000,20773292,16830000,11700000,5500000,,,,,,229,3,,,2,178,44,2,,,,,,10767.68,96.91,,,124.14,8600.52,1909.86,36.26,,,,,,19120000,6750000,,,19250000,19500000,18940000,8590000,,,,,,"109Y"
65000,新北市,65000050,新莊區,4318,1061,92,18,54,2609,355,49,11,8,,,61,155393.61,28126.1,7249.93,612.9,2965.2,99257.45,11587.29,718.72,1825.91,1668.83,,,1381.29,11000000,7200000,18390000,13940000,17020000,14000000,9300000,4700000,39980000,31575000,,,8460000,868,8,4,3,6,653,185,1,5,3,,,,46251.68,326.61,355.29,161.63,367.77,33895.55,9999.09,15.52,907.71,222.5,,,,14132500,10050000,20250000,18880000,17187500,14800000,12800000,5310000,36000000,17000000,,,,"109Y"
65000,新北市,65000060,新店區,2771,832,199,11,1,1281,359,47,,6,,,35,104324.23,24057.84,11646.29,620.51,99.54,50896.3,14650.34,695.89,,539.07,,,1118.45,12000000,9000000,17245000,29000000,38000000,15900000,10700000,6700000,,31500000,,,9160000,898,59,95,1,2,535,192,2,3,5,,,4,54699.08,2947.19,11119.59,33.73,129.61,27677.98,11256.56,58.2,531.81,756.46,,,187.94,15580000,9500000,24200000,14800000,16440000,16500000,13500000,9225000,51750000,47650000,,,10750000,"109Y"
65000,新北市,65000070,樹林區,928,379,105,5,,279,129,11,17,3,,,,38788.9,10598.84,9595.05,87.96,,10725.69,4420.29,153.66,2633.99,573.41,,,,7655000,6000000,16900000,9980000,,10350000,8280000,4500000,64000000,68000000,,,,462,8,26,2,1,310,104,2,5,4,,,,26006.88,387.19,2479.57,150.36,41.98,16647.88,5226.52,47.2,726.07,300.1,,,,12755000,9100000,26142857,35275000,15500000,13450000,10900000,5050000,23000000,11750000,,,,"109Y"
65000,新北市,65000080,鶯歌區,568,111,124,2,,153,168,1,5,2,,,2,25171.17,2966.47,10785.89,164.45,,4840.25,5580.83,13.96,472.18,281.7,,,65.44,5950000,4100000,8750000,30300000,,5950000,6025000,3040000,26000000,22000000,,,3700000,223,6,33,1,,78,105,,,,,,,11898.83,227.37,3325.31,48.38,,3557.81,4739.97,,,,,,,8800000,6670000,26800000,10700000,,9500000,7550000,,,,,,,"109Y"
65000,新北市,65000090,三峽區,834,96,64,7,,473,157,36,,,1,,,26826.04,2591.94,3492.6,242.41,,14993.94,5049.16,406.27,,,49.72,,,6600000,4637500,6650000,9170000,,7800000,6350000,3500000,,,23535000,,,405,2,12,4,,321,60,6,,,,,,20817.93,155.4,1004.2,174.92,,15967.09,3391.18,125.13,,,,,,12000000,13450000,17940000,16255000,,12300000,9850000,6000000,,,,,,"109Y"
65000,新北市,65000100,淡水區,3056,369,79,4,1,2011,410,180,2,,,,,102487.86,9814.17,4161.08,104.01,33.85,70515.91,15180.22,2517.69,160.93,,,,,6900000,4600000,10000000,10865000,5910000,7700000,6930000,2800000,16891350,,,,,1579,21,28,4,1,1343,155,26,,,,,1,79985.24,1068.07,2485.73,193.03,58.86,68138.54,7347.08,665.11,,,,,28.82,9600000,10400000,16190000,9350000,12600000,9630000,9300000,5375000,,,,,7400000,"109Y"
