V_ID,Town,Cluster_result,Cluster_name,QoL_Score,Marital status,Population Density,Natural Increase,Social Increase,Housing Price,Income,edu1,edu2,NO2,PM2.5,Hospital,Water,Green,Area,Metro in 300m,Multi Metro in 300m,Metro in 500m,Multi Metro in 500m,Primary School,High School,Gym,Fire station,Police station,Shelter
65000090-013,Sanxia District,0,Suburb: Remote and Desolate,16.6,0.014298036,0.000337041,0.167780532,0.11268198,0.193649006,0.002656514,0.011261819,0.411182312,0.094125604,0.603641642,0,0,1,0.009680706,0,0,0,0,0,0,0,0,1,0
65000090-008,Sanxia District,1,Suburb: Small Town Settlement,50.4,0.237416897,0.020851195,0.1738904,0.111269685,0.193649006,0.091251093,0.235371344,0.824819581,0.087151014,0.57261181,0.142857143,1,1,0.00904611,0,0,0,0,1,1,0,1,1,0.003875969
65000090-009,Sanxia District,1,Suburb: Small Town Settlement,40.19,0.23363377,0.0412982,0.206227022,0.124075945,0.193649006,0.090946458,0.2306292,0.756545182,0.094125604,0.564872184,0.285714286,0,1,0.006564515,0,0,0,0,1,1,0,1,1,0.007751938
65000090-027,Sanxia District,1,Suburb: Small Town Settlement,67.34,0.302096185,0.113377557,0.242602396,0.126019113,0.193649006,0.136117785,0.302441013,0.266645959,0.087151014,0.526282365,0.142857143,0,1,0.001961779,0,0,0,0,1,0,0,1,1,0.003875969
65000090-028,Sanxia District,1,Suburb: Small Town Settlement,74.26,0.193560945,0.154515249,0.208438852,0.12064987,0.193649006,0.102780491,0.192643896,0.436198393,0.087151014,0.526282365,0.142857143,0,1,0.004383895,0,0,0,0,1,1,0,1,1,0
65000210-001,Sanzhi District,0,Suburb: Remote and Desolate,8.33,0.007877533,0.002279483,0.16300045,0.112604709,0.037250411,0.001523747,0.006576338,0.389233039,0.196123097,0.419215853,0,0,1,0.005427972,0,0,0,0,0,0,0,0,0,0.003875969
65000210-003,Sanzhi District,1,Suburb: Small Town Settlement,71.44,0.036331034,0.003133119,0.158042115,0.11389969,0.037250411,0.010745309,0.037500859,0.435953609,0.167810575,0.495542114,0.142857143,1,1,0.007852691,0,0,0,0,1,0,0,1,1,0
65000210-011,Sanzhi District,0,Suburb: Remote and Desolate,3.97,0.017470642,0.000253802,0.151139099,0.113974647,0.037250411,0.004202973,0.013485196,0.412913694,0.216922523,0.480216469,0,0,1,0.009708863,0,0,0,0,0,0,0,0,0,0.003875969
65000210-005,Sanzhi District,1,Suburb: Small Town Settlement,12.23,0.183900596,0.016302743,0.152897108,0.109480247,0.037250411,0.049124439,0.171487293,0.818551632,0.185357893,0.487875561,0.142857143,0,1,0.008418323,0,0,0,0,1,1,0,1,1,0.011627907
65000210-002,Sanzhi District,1,Suburb: Small Town Settlement,40.05,0.156208274,0.044665518,0.16300045,0.110708001,0.037250411,0.04459293,0.15027163,0.667300105,0.172861055,0.472564867,0.142857143,0,1,0.004151972,0,0,0,0,1,1,0,1,1,0.007751938
65000210-012,Sanzhi District,0,Suburb: Remote and Desolate,17.07,0.019040677,0.000797488,0.149359022,0.113142707,0.037250411,0.004705866,0.016054612,0.409713898,0.220817574,0.336151345,0.285714286,0,1,0.00939912,0,0,0,0,1,0,0,0,0,0
65000210-009,Sanzhi District,0,Suburb: Remote and Desolate,27.62,0.072392829,0.002706381,0.143882862,0.111666579,0.037250411,0.029087447,0.07454468,0.442210209,0.170398918,0.442033946,0,1,1,0.009495387,0,0,0,0,0,0,0,0,1,0
65000210-004,Sanzhi District,1,Suburb: Small Town Settlement,83.74,0.02635094,0.001884299,0.161367884,0.112059923,0.037250411,0.005498123,0.022727975,0.420772173,0.172861055,0.526282365,0.142857143,1,1,0.008536786,0,0,0,0,1,1,0,1,1,0
65000210-007,Sanzhi District,0,Suburb: Remote and Desolate,12.3,0.014340379,0.000639133,0.156348283,0.112912962,0.037250411,0.002997755,0.010599673,0.403970268,0.196123097,0.510897488,0,0,1,0.00938287,0,0,0,0,1,0,0,0,0,0.003875969
65000210-010,Sanzhi District,0,Suburb: Remote and Desolate,41.2,0.027963547,0.002417087,0.161367884,0.112989681,0.037250411,0.010776643,0.027087791,0.393411096,0.194785639,0.449655294,0.142857143,0,1,0.007883679,0,0,0,0,0,0,0,1,1,0
65000210-013,Sanzhi District,0,Suburb: Remote and Desolate,12.97,0.042147014,0.001640528,0.140115176,0.112527301,0.037250411,0.014352914,0.038501519,0.435416786,0.220817574,0.336151345,0.285714286,0,1,0.009418414,0,0,0,0,1,0,0,0,0,0.003875969
65000210-006,Sanzhi District,0,Suburb: Remote and Desolate,43.15,0.020939752,0.002061331,0.16300045,0.112216275,0.037250411,0.005039566,0.02210049,0.394343384,0.185357893,0.503216099,0.142857143,0,1,0.008152869,0,0,0,0,0,0,0,1,1,0
