縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各建物型態合計棟數,不含車位_公寓棟數,不含車位_透天厝棟數,不含車位_店面(店舖)棟數,不含車位_辦公商業大樓棟數,不含車位_住宅大樓棟數,不含車位_華廈棟數,不含車位_套房棟數,不含車位_工廠棟數,不含車位_廠辦棟數,不含車位_農舍棟數,不含車位_倉庫棟數,不含車位_其他建物型態棟數,不含車位_各建物型態合計面積,不含車位_公寓面積,不含車位_透天厝面積,不含車位_店面(店舖)面積,不含車位_辦公商業大樓面積,不含車位_住宅大樓面積,不含車位_華廈面積,不含車位_套房面積,不含車位_工廠面積,不含車位_廠辦面積,不含車位_農舍面積,不含車位_倉庫面積,不含車位_其他建物型態面積,不含車位_各建物型態整體中位數房價,不含車位_公寓中位數房價,不含車位_透天厝中位數房價,不含車位_店面(店舖)中位數房價,不含車位_辦公商業大樓中位數房價,不含車位_住宅大樓中位數房價,不含車位_華廈中位數房價,不含車位_套房中位數房價,不含車位_工廠中位數房價,不含車位_廠辦中位數房價,不含車位_農舍中位數房價,不含車位_倉庫中位數房價,不含車位_其他建物型態中位數房價,含車位_各建物型態合計棟數,含車位_公寓棟數,含車位_透天厝棟數,含車位_店面(店舖)棟數,含車位_辦公商業大樓棟數,含車位_住宅大樓棟數,含車位_華廈棟數,含車位_套房棟數,含車位_工廠棟數,含車位_廠辦棟數,含車位_農舍棟數,含車位_倉庫棟數,含車位_其他建物型態棟數,含車位_各建物型態合計面積,含車位_公寓面積,含車位_透天厝面積,含車位_店面(店舖)面積,含車位_辦公商業大樓面積,含車位_住宅大樓面積,含車位_華廈面積,含車位_套房面積,含車位_工廠面積,含車位_廠辦面積,含車位_農舍面積,含車位_倉庫面積,含車位_其他建物型態面積,含車位_各建物型態整體中位數房價,含車位_公寓中位數房價,含車位_透天厝中位數房價,含車位_店面(店舖)中位數房價,含車位_辦公商業大樓中位數房價,含車位_住宅大樓中位數房價,含車位_華廈中位數房價,含車位_套房中位數房價,含車位_工廠中位數房價,含車位_廠辦中位數房價,含車位_農舍中位數房價,含車位_倉庫中位數房價,含車位_其他建物型態中位數房價,資料時間
65000,新北市,65000010,板橋區,3029,1293,81,1,,1451,203,,,,,,,86132.05,32083.27,2779.97,25.18,,45183.26,6060.37,,,,,,,11500000,9000000,16500000,26000000,,13800000,12650000,,,,,,,552,3,1,,,472,76,,,,,,,26550.53,109.8,77.68,,,22401.41,3961.64,,,,,,,17000000,9480000,25000000,,,17160000,16050000,,,,,,,"110Y"
65000,新北市,65000020,三重區,2248,1055,100,,,897,196,,,,,,,70200.74,24746.48,7371.56,,,30821.86,7260.84,,,,,,,10100000,8028000,23500000,,,14700000,12850000,,,,,,,496,2,2,,,376,116,,,,,,,25939.22,19.66,177.04,,,19418.22,6324.3,,,,,,,17130000,3500000,30250000,,,17840000,15730000,,,,,,,"110Y"
65000,新北市,65000030,中和區,3211,1195,51,,,1781,184,,,,,,,103951.66,31932.39,2770.28,,,62744.29,6504.7,,,,,,,11800000,9580000,19600000,,,14300000,12500000,,,,,,,642,20,9,,,484,129,,,,,,,39146.28,1042.84,2880.12,,,26044.38,9178.94,,,,,,,18150000,13050000,50000000,,,18500000,17750000,,,,,,,"110Y"
65000,新北市,65000040,永和區,1346,638,28,,,537,143,,,,,,,39031.64,17239.63,573.17,,,17418.09,3800.76,,,,,,,12600000,11500000,14850000,,,16300000,12800000,,,,,,,233,,,,,197,36,,,,,,,11244.52,,,,,9657.67,1586.85,,,,,,,21000000,,,,,21000000,19750000,,,,,,,"110Y"
65000,新北市,65000050,新莊區,3226,938,117,,,1856,315,,,,,,,116201.53,24478.19,8457.94,,,71591.02,11674.39,,,,,,,11365000,7690000,24200000,,,14515000,10500000,,,,,,,743,11,4,,,596,132,,,,,,,37361.06,516.08,421.93,,,30240.54,6182.52,,,,,,,15260000,13880000,27500000,,,15955000,13740000,,,,,,,"110Y"
65000,新北市,65000060,新店區,2184,754,170,,,822,438,,,,,,,80084.78,21779.85,9599.46,,,28727.18,19978.29,,,,,,,11940000,9800000,16000000,,,14250000,12680000,,,,,,,838,73,105,,,471,189,,,,,,,48812.18,3632.49,9735.15,,,24401.01,11043.52,,,,,,,16800000,9600000,37500000,,,17800000,15000000,,,,,,,"110Y"
65000,新北市,65000070,樹林區,871,362,131,,,272,106,,,,,,,39731.6,9690.02,16241.8,,,10111.96,3687.82,,,,,,,8400000,6400000,26000000,,,10660000,8675000,,,,,,,383,6,20,,,256,101,,,,,,,21108.22,285.78,1750.86,,,14000.06,5071.52,,,,,,,14000000,7505000,16580000,,,15325000,11000000,,,,,,,"110Y"
65000,新北市,65000080,鶯歌區,636,118,134,,,176,208,,,,,,,29447.33,3472.11,12629.77,,,6121.18,7224.27,,,,,,,7295000,4450000,9875000,,,8650000,7000000,,,,,,,206,6,8,,,115,77,,,,,,,9608.3,243.56,603.29,,,5120.77,3640.68,,,,,,,9465000,6925000,16250000,,,9850000,8580000,,,,,,,"110Y"
65000,新北市,65000090,三峽區,625,85,65,,,349,126,,,,,,,19767.3,2334.92,2852.35,,,10625.92,3954.1,,,,,,,7030000,5300000,7000000,,,7900000,6990000,,,,,,,310,3,14,,,236,57,,,,,,,15373.98,152.18,1093.55,,,11628.29,2499.95,,,,,,,12725000,6100000,18800000,,,13000000,9580000,,,,,,,"110Y"
65000,新北市,65000100,淡水區,2901,428,79,,,2040,352,,,,,,2,94528.13,9972.35,5562.23,,,69114.75,9824.43,,,,,,54.37,7250000,4390000,15600000,,,7750000,6000000,,,,,,18200000,1635,28,32,,,1369,205,,,,,,1,83960.7,1470.9,4813.54,,,67893.96,9725.55,,,,,,56.75,9850000,11225000,18300000,,,9800000,9500000,,,,,,10050000,"110Y"
