縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各建物型態合計棟數,不含車位_公寓棟數,不含車位_透天厝棟數,不含車位_店面(店舖)棟數,不含車位_辦公商業大樓棟數,不含車位_住宅大樓棟數,不含車位_華廈棟數,不含車位_套房棟數,不含車位_工廠棟數,不含車位_廠辦棟數,不含車位_農舍棟數,不含車位_倉庫棟數,不含車位_其他建物型態棟數,不含車位_各建物型態合計面積,不含車位_公寓面積,不含車位_透天厝面積,不含車位_店面(店舖)面積,不含車位_辦公商業大樓面積,不含車位_住宅大樓面積,不含車位_華廈面積,不含車位_套房面積,不含車位_工廠面積,不含車位_廠辦面積,不含車位_農舍面積,不含車位_倉庫面積,不含車位_其他建物型態面積,不含車位_各建物型態整體中位數房價,不含車位_公寓中位數房價,不含車位_透天厝中位數房價,不含車位_店面(店舖)中位數房價,不含車位_辦公商業大樓中位數房價,不含車位_住宅大樓中位數房價,不含車位_華廈中位數房價,不含車位_套房中位數房價,不含車位_工廠中位數房價,不含車位_廠辦中位數房價,不含車位_農舍中位數房價,不含車位_倉庫中位數房價,不含車位_其他建物型態中位數房價,含車位_各建物型態合計棟數,含車位_公寓棟數,含車位_透天厝棟數,含車位_店面(店舖)棟數,含車位_辦公商業大樓棟數,含車位_住宅大樓棟數,含車位_華廈棟數,含車位_套房棟數,含車位_工廠棟數,含車位_廠辦棟數,含車位_農舍棟數,含車位_倉庫棟數,含車位_其他建物型態棟數,含車位_各建物型態合計面積,含車位_公寓面積,含車位_透天厝面積,含車位_店面(店舖)面積,含車位_辦公商業大樓面積,含車位_住宅大樓面積,含車位_華廈面積,含車位_套房面積,含車位_工廠面積,含車位_廠辦面積,含車位_農舍面積,含車位_倉庫面積,含車位_其他建物型態面積,含車位_各建物型態整體中位數房價,含車位_公寓中位數房價,含車位_透天厝中位數房價,含車位_店面(店舖)中位數房價,含車位_辦公商業大樓中位數房價,含車位_住宅大樓中位數房價,含車位_華廈中位數房價,含車位_套房中位數房價,含車位_工廠中位數房價,含車位_廠辦中位數房價,含車位_農舍中位數房價,含車位_倉庫中位數房價,含車位_其他建物型態中位數房價,資料時間
10002,宜蘭縣,10002010,宜蘭市,879,85,468,24,,54,170,56,1,1,16,1,3,40656.7,2557.86,26340.8,1518.96,,2373.12,5516.76,717.35,498.98,65.2,949.89,62.71,55.07,7100000,3600000,11200000,14990000,,9590000,4445000,1900000,84700000,56497950,13500000,8000000,4500000,201,2,2,3,,31,160,3,,,,,,10490.53,147.01,254.51,178.39,,1670.33,8190.5,49.8,,,,,,6100000,5300000,28617500,8000000,,6930000,6000000,2380000,,,,,,"106Y"
10002,宜蘭縣,10002020,羅東鎮,534,80,188,18,1,43,118,78,,1,4,,3,20384.11,2112.98,9117.28,1091.69,51.33,1462.2,3802.16,1049.94,,243.28,515.44,,937.8,4990000,3300000,9500000,21000000,5200000,4500000,4550000,2100000,,36900000,29500000,,125000000,84,3,3,,2,14,59,1,,,,,2,3810.64,122.37,172.75,,280.13,566.4,2540.1,20.16,,,,,108.74,5650000,4550000,7600000,,36400000,5675000,5600000,3060000,,,,,4725000,"106Y"
10002,宜蘭縣,10002030,蘇澳鎮,268,25,191,1,,10,16,5,6,13,,,1,15306.75,822.8,9383.77,49.06,,268.08,559.26,69.34,621.77,1276.08,,,2256.6,4415000,2050000,5000000,6680000,,2312500,2600000,2100000,16865000,19714286,,,24300000,1,,,,,,1,,,,,,,41.15,,,,,,41.15,,,,,,,2800000,,,,,,2800000,,,,,,,"106Y"
10002,宜蘭縣,10002040,頭城鎮,157,8,75,2,,,17,51,1,,2,,1,6077.55,158.08,3398,129.34,,,612.46,1130.65,439.55,,171.05,,38.41,5980000,1662500,5700000,12900000,,,4050000,6200000,35000000,,22500000,,2100000,6,,2,,,,4,,,,,,,286.64,,130.5,,,,156.15,,,,,,,5830000,,6905000,,,,4500000,,,,,,,"106Y"
10002,宜蘭縣,10002050,礁溪鄉,507,42,139,2,39,36,40,191,,,17,,1,16794.25,855.46,7250.95,96.5,1320.57,1424.83,1145.79,3648.02,,,1042.71,,9.41,6500000,3045000,8880000,16500000,12500000,13900000,4645000,4300000,,,16500000,,3700000,29,,,,,8,7,14,,,,,,1124.37,,,,,506.09,297.11,321.18,,,,,,5100000,,,,,20050000,2800000,5050000,,,,,,"106Y"
10002,宜蘭縣,10002060,壯圍鄉,197,7,172,1,,,7,,,,10,,,10539.97,202.98,9267.93,37.21,,,290.53,,,,741.32,,,7380000,2600000,7480000,4000000,,,2480000,,,,17000000,,,1,,,,,,1,,,,,,,46,,,,,,46,,,,,,,2400000,,,,,,2400000,,,,,,,"106Y"
10002,宜蘭縣,10002070,員山鄉,141,9,94,1,,,7,,,,29,,1,7593.68,261.15,4976.26,61.48,,,241.18,,,,2034.94,,18.66,8300000,3050000,8000000,18000000,,,3680000,,,,15650000,,21000000,10,,1,,,,9,,,,,,,454.55,,60.45,,,,394.09,,,,,,,4450000,,11400000,,,,4300000,,,,,,,"106Y"
10002,宜蘭縣,10002080,冬山鄉,476,23,377,,1,,9,2,11,8,41,,4,30088.3,666.61,20194.99,,44.16,,266.33,24.62,2277.62,3167.25,3354.58,,92.14,8500000,2000000,8500000,,6000000,,3800000,1450000,15598167,30833333,15500000,,10250000,4,1,2,,,,1,,,,,,,211.46,60.4,103.34,,,,47.73,,,,,,,5110000,4500000,5700000,,,,5720000,,,,,,,"106Y"
10002,宜蘭縣,10002090,五結鄉,424,13,289,,,40,28,28,5,,19,,2,23030.09,498.79,16134.78,,,1580.36,1163.55,442.04,1746.57,,1389.71,,74.31,7710000,3750000,8000000,,,7900000,4800000,1510000,33500000,,14000000,,5815000,50,13,4,,,11,19,1,,,,,2,2276.42,608.6,234.1,,,585.89,735.83,20.76,,,,,91.25,4025000,2800000,9950000,,,10000000,4000000,3500000,,,,,2450000,"106Y"
10002,宜蘭縣,10002100,三星鄉,169,7,127,1,,,,,,,34,,,10458.03,134.3,7688.24,68.86,,,,,,,2566.62,,,8800000,1560000,8200000,9880000,,,,,,,14975000,,,1,,1,,,,,,,,,,,49.11,,49.11,,,,,,,,,,,6050000,,6050000,,,,,,,,,,,"106Y"
10002,宜蘭縣,10002110,大同鄉,2,,,,,,,,,,2,,,227.56,,,,,,,,,,227.56,,,20000000,,,,,,,,,,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106Y"
10002,宜蘭縣,10002120,南澳鄉,1,,1,,,,,,,,,,,55.41,,55.41,,,,,,,,,,,3140000,,3140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106Y"
10004,新竹縣,10004010,竹北市,2267,17,324,43,3,1615,96,115,1,46,7,,,115701.03,457.78,22253.93,2003.57,235.09,76974.33,3117.01,1347.18,283.89,8471.42,556.83,,,9450000,4200000,13400000,12250000,17000000,9400000,4625000,2650000,97000000,38492500,19500000,,,1356,7,13,34,25,938,292,45,,2,,,,77197.05,303.93,1089.6,1803.61,2114.39,59013.05,11533.57,930.07,,408.82,,,,10190000,8500000,15600000,18240000,19304500,11290000,6750000,3800000,,34000000,,,,"106Y"
