縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各建物型態合計棟數,不含車位_公寓棟數,不含車位_透天厝棟數,不含車位_店面(店舖)棟數,不含車位_辦公商業大樓棟數,不含車位_住宅大樓棟數,不含車位_華廈棟數,不含車位_套房棟數,不含車位_工廠棟數,不含車位_廠辦棟數,不含車位_農舍棟數,不含車位_倉庫棟數,不含車位_其他建物型態棟數,不含車位_各建物型態合計面積,不含車位_公寓面積,不含車位_透天厝面積,不含車位_店面(店舖)面積,不含車位_辦公商業大樓面積,不含車位_住宅大樓面積,不含車位_華廈面積,不含車位_套房面積,不含車位_工廠面積,不含車位_廠辦面積,不含車位_農舍面積,不含車位_倉庫面積,不含車位_其他建物型態面積,不含車位_各建物型態整體中位數房價,不含車位_公寓中位數房價,不含車位_透天厝中位數房價,不含車位_店面(店舖)中位數房價,不含車位_辦公商業大樓中位數房價,不含車位_住宅大樓中位數房價,不含車位_華廈中位數房價,不含車位_套房中位數房價,不含車位_工廠中位數房價,不含車位_廠辦中位數房價,不含車位_農舍中位數房價,不含車位_倉庫中位數房價,不含車位_其他建物型態中位數房價,含車位_各建物型態合計棟數,含車位_公寓棟數,含車位_透天厝棟數,含車位_店面(店舖)棟數,含車位_辦公商業大樓棟數,含車位_住宅大樓棟數,含車位_華廈棟數,含車位_套房棟數,含車位_工廠棟數,含車位_廠辦棟數,含車位_農舍棟數,含車位_倉庫棟數,含車位_其他建物型態棟數,含車位_各建物型態合計面積,含車位_公寓面積,含車位_透天厝面積,含車位_店面(店舖)面積,含車位_辦公商業大樓面積,含車位_住宅大樓面積,含車位_華廈面積,含車位_套房面積,含車位_工廠面積,含車位_廠辦面積,含車位_農舍面積,含車位_倉庫面積,含車位_其他建物型態面積,含車位_各建物型態整體中位數房價,含車位_公寓中位數房價,含車位_透天厝中位數房價,含車位_店面(店舖)中位數房價,含車位_辦公商業大樓中位數房價,含車位_住宅大樓中位數房價,含車位_華廈中位數房價,含車位_套房中位數房價,含車位_工廠中位數房價,含車位_廠辦中位數房價,含車位_農舍中位數房價,含車位_倉庫中位數房價,含車位_其他建物型態中位數房價,資料時間
66000,臺中市,66000240,大肚區,254,44,177,5,,7,11,1,3,4,,,2,11583.56,972.49,8462.82,206.57,,228.88,390.75,14.50,313.52,703.87,,,290.16,6065000,2330000,7000000,2500000,,3100000,4150000,850000,68495000,34211500,,,52450000,15,1,,,,5,9,,,,,,,656.25,42.50,,,,184.16,429.58,,,,,,,4030000,3750000,,,,3680000,7750000,,,,,,,"107Y"
66000,臺中市,66000250,龍井區,421,30,271,3,,10,54,49,2,1,1,,,17843.11,804.68,14297.46,108.53,,151.59,1568.13,387.16,440.53,48.29,36.73,,,6680000,3390000,8000000,14500000,,432857,3300000,1100000,46098825,32633700,5600000,,,58,,7,,,5,40,5,,,,,1,2066.10,,465.78,,,257.16,1307.33,31.00,,,,,4.83,3030000,,10600000,,,6770000,3000000,1080000,,,,,480000,"107Y"
66000,臺中市,66000260,霧峰區,300,15,200,10,,5,41,12,1,2,12,,2,14494.66,500.14,10403.56,491.47,,210.05,1416.19,177.47,127.57,131.58,889.26,,147.36,6500000,3305344,7800000,6350000,,4160000,4450000,1590000,24800000,11914000,8000000,,13750000,54,2,8,,,13,31,,,,,,,2122.74,63.10,505.87,,,468.74,1085.04,,,,,,,5300000,2775000,8900000,,,3900000,5400000,,,,,,,"107Y"
66000,臺中市,66000270,太平區,1577,64,844,37,,392,128,67,17,13,1,1,13,69062.84,1816.02,41161.69,1982.82,,15831.67,4050.51,527.39,1589.78,989.51,75.97,251.49,785.99,8000000,3000000,9000000,9080000,,8500000,3605000,950000,25000000,21235500,16888000,81665640,3600000,571,15,45,5,,392,114,,,,,,,26270.05,597.73,3035.67,234.30,,17977.89,4424.46,,,,,,,6900000,4200000,8680000,9650000,,7565000,4550000,,,,,,,"107Y"
66000,臺中市,66000280,大里區,1271,109,660,42,6,241,154,25,10,13,2,,9,59079.25,2835.99,31998.19,2049.21,757.58,8735.82,4842.21,286.30,2836.45,4160.25,110.76,,466.48,6880000,3100000,9000000,8190000,17465000,6850000,3800000,1450000,40000000,29500000,9450000,,18000000,428,3,25,8,1,239,152,,,,,,,18273.76,108.40,1848.89,434.77,51.67,10487.07,5342.95,,,,,,,5900000,4050000,10200000,13470000,5200000,7530000,4700000,,,,,,,"107Y"
66000,臺中市,66000290,和平區,1,,,,,,,,,,1,,,33.84,,,,,,,,,,33.84,,,9600000,,,,,,,,,,9600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107Y"
67000,臺南市,67000010,新營區,544,43,322,11,4,48,78,15,15,,2,1,5,37668.22,1222.08,18832.93,819.93,657.87,1591.57,2822.14,152.11,10453.23,,188.23,46.59,881.54,4500000,1500000,7480000,16500000,6750000,2825000,2580000,750000,113946645,,2800000,8177000,15250000,34,2,,,,13,19,,,,,,,1913.29,71.92,,,,698.95,1142.42,,,,,,,3720000,3500000,,,,3760000,3600000,,,,,,,"107Y"
67000,臺南市,67000020,鹽水區,127,9,90,1,,1,9,5,7,,3,,2,5921.45,247.70,4402.62,53.63,,32.97,254.58,42.44,719.63,,153.73,,14.14,3800000,800000,4025000,18000000,,1560000,1400000,390000,25985269,,4000000,,182750000,2,,,,,,2,,,,,,,73.10,,,,,,73.10,,,,,,,2180000,,,,,,2180000,,,,,,,"107Y"
67000,臺南市,67000030,白河區,76,6,61,4,,,,3,,,2,,,3306.06,143.60,2755.14,236.29,,,,51.75,,,119.28,,,3605000,1475000,3800000,7800000,,,,1270000,,,3600000,,,1,,1,,,,,,,,,,,62.20,,62.20,,,,,,,,,,,8700000,,8700000,,,,,,,,,,,"107Y"
67000,臺南市,67000040,柳營區,111,,96,1,,,1,,3,,7,2,1,7654.91,,4881.91,50.32,,,61.23,,2148.01,,420.90,61.66,30.87,6450000,,6425000,3600000,,,2900000,,71289010,,5666667,30363000,1630000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107Y"
