WKT,名稱,說明
"POINT (121.5677566 25.0288257)",臺北市立信義國民中學,
"POINT (121.5854371 25.0370894)",臺北市立瑠公國民中學,
"POINT (121.5722586 25.035644)",台北市立興雅國民中學,
"POINT (121.5737906 25.0483189)",臺北市立永吉國民中學,
"POINT (121.5835344 25.0426096)",臺北市協和祐德高級中等學校,
"POINT (121.5477558 25.0306323)",臺北市立大安國民中學,
"POINT (121.5388404 25.0111994)",臺北市民族實驗國民中學,
"POINT (121.5387036 25.0244738)",臺北市立龍門國民中學,
"POINT (121.5411475 25.0403808)",臺北市立懷生國民中學,
"POINT (121.5508351 25.037321)",臺北市立仁愛國民中學,
"POINT (121.5323017 25.0309289)",臺北市立金華國民中學,
"POINT (121.5395764 25.0349861)",師大附中國中部(明德樓),
"POINT (121.5263386 25.062038)",臺北市立新興國民中學,
"POINT (121.5455307 25.0606103)",臺北市立中山國民中學,
"POINT (121.5311135 25.0498831)",臺北市立長安國民中學,
"POINT (121.5432509 25.0634724)",臺北市立五常國民中學,
"POINT (121.5415678 25.0777783)",臺北市立北安國民中學,
"POINT (121.5607499 25.07955)",臺北市濱江實驗國民中學,
"POINT (121.5186507 25.0516308)",臺北市立建成國民中學,
"POINT (121.521894 25.0322885)",臺北市立中正國民中學,
"POINT (121.5262598 25.019376)",螢橋國中,
"POINT (121.5092027 25.0352063)",臺北市立南門國民中學,
"POINT (121.5108066 25.0249449)",臺北市立古亭國民中學,
"POINT (121.515262 25.0374967)",臺北市立弘道國民中學,
"POINT (121.5180299 25.0759168)",臺北市立重慶國民中學,
"POINT (121.5186507 25.0516308)",臺北市立建成國民中學,
"POINT (121.5166706 25.0693236)",臺北市立蘭州國民中學,
"POINT (121.5082165 25.051247)",臺北市立忠孝國民中學,
"POINT (121.5138656 25.0636885)",臺北市立民權國民中學,
"POINT (121.5187817 25.0613726)",臺北市立成淵高級中學,
"POINT (121.5263388 25.0620455)",臺北市立新興國民中學,
"POINT (121.4989765 25.0285877)",臺北市立萬華國民中學,
"POINT (121.4920072 25.0276017)",臺北市立雙園國民中學,
"POINT (121.5053509 25.0355438)",臺北市立龍山國民中學,
"POINT (121.4912045 25.0308614)",臺北市立大理高級中學,
"POINT (121.4971355 25.0279587)",臺北市立華江高級中學,
"POINT (121.5676113 24.98752)",臺北市立木柵國民中學,
"POINT (121.5673699 24.9853714)",景文中學附設國中部,
"POINT (121.5555398 24.9835854)",臺北市立實踐國民中學,
"POINT (121.5499189 25.0049113)",臺北市立興福國民中學,
"POINT (121.5779958 24.9845598)",臺北市立北政國民中學,
"POINT (121.543713 24.996515)",臺北市立景興國民中學,
"POINT (121.5614016 24.9724688)",台北市私立東山高級中學國中部辦公室,
"POINT (121.5429395 24.9931712)",臺北市立景美國民中學,
"POINT (121.6188493 25.0536955)",臺北市立誠正國民中學,
"POINT (121.5944079 25.0522308)",臺北市立南港高級中學,
"POINT (121.5876775 25.0449962)",臺北市立成德國民中學,
"POINT (121.5951626 25.0513325)",子端國中,
"POINT (121.5886895 25.077035)",臺北市立內湖國民中學,
"POINT (121.5759675 25.0821733)",臺北市立麗山國民中學,
"POINT (121.5660775 25.0854627)",臺北市西湖實驗國民中學,
"POINT (121.6201035 25.0725594)",臺北市立東湖國民中學,
"POINT (121.6106431 25.0706196)",臺北市立明湖國民中學,
"POINT (121.5227421 25.0935395)",臺北市立士林國民中學,
"POINT (121.531819 25.1105848)",臺北市立蘭雅國民中學,
"POINT (121.5381925 25.1180472)",臺北市立天母國民中學,
"POINT (121.5171849 25.0923088)",陽明高中國中部,
"POINT (121.4878515 25.1032199)",臺北市立福安國民中學,
"POINT (121.5464591 25.1309173)",臺北市立格致國民中學,
"POINT (121.5555851 25.1036391)",Taipei Municipal Zhishan Junior High School,
"POINT (121.5046844 25.1344332)",臺北市立北投國民中學,
"POINT (121.4773324 25.1347178)",臺北市立桃源國民中學,
"POINT (121.4671461 25.1198989)",臺北市立關渡國民中學,
