WKT,名稱,說明
"POINT (121.3460408 24.951314)",新北市鶯歌區鶯歌國民小學,
"POINT (121.3480221 24.9732834)",新北市鶯歌區中湖國民小學,
"POINT (121.334826 24.969172)",新北市鶯歌區鳳鳴國民小學,
"POINT (121.3538912 24.9547607)",山姆叔叔美國學校鶯歌校區,
"POINT (121.3468027 24.9549962)",新北市鶯歌區建國國民小學,
"POINT (121.332739 24.959045)",新北市鶯歌區永吉國民小學,
"POINT (121.339386 24.955871)",新北市鶯歌區昌福國民小學,
"POINT (121.3377567 24.9410772)",新北市鶯歌區二橋國民小學,
"POINT (121.6277344 25.0685754)",新北市汐止區金龍國民小學,
"POINT (121.7000861 25.0600444)",新北市汐止區東山國民小學,
"POINT (121.6691867 25.0695778)",Chongde Elementary School,
"POINT (121.680851 25.071773)",新北市汐止區保長國民小學,
"POINT (121.6545593 25.0670642)",新北市汐止區汐止國民小學,
"POINT (121.6617018 25.0628885)",新北市汐止區秀峰國民小學,
"POINT (121.6417674 25.06649819999999)",新北市汐止區樟樹國民小學,
"POINT (121.65666 25.0611597)",新北市汐止區青山國民中小學,
"POINT (121.6324198 25.0636712)",新北市汐止區北峰國民小學,
"POINT (121.618851 25.04766)",新北市汐止區白雲國民小學,
"POINT (121.4180796 24.98981629999999)",新北市樹林區樹林國民小學,
"POINT (121.4254426 24.9979998)",新北市樹林區文林國民小學,
"POINT (121.4147006 25.0019549)",新北市樹林區武林國民小學,
"POINT (121.4158408 24.9857421)",新北市樹林區育林國民小學,
"POINT (121.4239611 24.9814636)",新北市樹林區彭福國民小學,
"POINT (121.4175571 24.9818352)",新北市樹林區大同國民小學,
"POINT (121.4017467 24.9754914)",新北市樹林區山佳國民小學,
"POINT (121.3925043 24.9708725)",新北市樹林區育德國民小學,
"POINT (121.390047 24.9557548)",新北市樹林區柑園國民小學,
"POINT (121.4702169 25.0918191)",新北市蘆洲區仁愛國民小學,
"POINT (121.4635369 25.0898139)",新北市蘆洲區忠義國民小學,
"POINT (121.4766525 25.085096)",新北市蘆洲區鷺江國民小學,
"POINT (121.4700712 25.0844014)",新北市蘆洲區蘆洲國民小學,
"POINT (121.4688701 25.0855434)",奧升英國小學 蘆洲校區 Oxon English Luzhou,
"POINT (121.457378 25.0856724)",新北市蘆洲區成功國民小學,
"POINT (121.4421155 24.9720709)",新北市土城區土城國民小學,
"POINT (121.4649765 24.98893859999999)",新北市土城區安和國民小學,
"POINT (121.4612011 24.984827)",新北市土城區清水國民小學,
"POINT (121.454876 24.9868943)",新北市土城區廣福國民小學,
"POINT (121.4479542 24.9852144)",新北市土城區樂利國民小學,
"POINT (121.4399429 24.9826917)",新北市私立裕德雙語高級中學,
"POINT (121.43733 24.9763162)",福瑞斯特中小學接送區,
"POINT (121.4143186 24.9560423)",新北市土城區頂埔國民小學,
