,名稱,lon,lat
42,新北市政府警察局新莊分局光華派出所,121.4264313,25.0170181
43,新北市政府警察局新莊分局頭前派出所,121.4657978,25.0482478
44,新北市政府警察局新莊分局昌平派出所,121.4547257,25.0571866
45,新北市政府警察局新店分局,121.5420849,24.96737
46,新北市政府警察局新店分局碧潭派出所,121.5417551,24.9676021
47,新北市政府警察局新店分局青潭派出所,121.5601263,24.9544927
48,新北市政府警察局新店分局屈尺派出所,121.5461759,24.9227049
49,新北市政府警察局新店分局江陵派出所,121.5418926,24.9786865
50,新北市政府警察局新店分局直潭派出所,121.5345383,24.938618
51,新北市政府警察局新店分局安和派出所,121.5174821,24.9798862
52,新北市政府警察局土城分局,121.4429303,24.9732888
53,新北市政府警察局土城分局金城派出所,121.4635736,24.9840413
54,新北市政府警察局土城分局廣福派出所,121.4560042,24.9877315
55,土城分局頂埔派出所,121.4182041,24.9593055
56,新北市政府警察局土城分局清水派出所,121.4589736,24.9812707
57,新北市政府警察局蘆洲分局暨三民派出所,121.4608586,25.0853933
58,新北市政府警察局蘆洲分局蘆洲派出所,121.4729351,25.0819302
59,新北市政府警察局蘆洲分局集賢派出所,121.4816957,25.085021
60,新北市政府警察局蘆洲分局延平派出所,121.4614,25.0817497
61,新北市政府警察局蘆洲分局交通分隊,121.4727756,25.0819465
62,新北市政府警察局蘆洲分局更寮派出所,121.458414,25.0779283
63,新北市政府警察局蘆洲分局五股分駐所,121.4368561,25.0835362
64,新北市政府警察局蘆洲分局成州派出所,121.4516333,25.1014551
65,新北市政府警察局三重分局大有派出所,121.4755908,25.0703816
66,新北市政府警察局蘆洲分局龍源派出所,121.4513067,25.1324494
67,新北市政府警察局樹林分局,121.4188076,24.9967978
68,新北市政府警察局樹林分局樹林派出所,121.4255097,24.9919358
69,新北市政府警察局樹林分局彭厝派出所,121.4221681,24.9799298
70,鐵路警察局臺北分局樹林派出所,121.4246008,24.9914074
71,國道公路警察局第六公路警察大隊樹林分隊,121.3952311,24.9520516
72,新北市政府警察局樹林分局三多派出所,121.4046918,25.0163077
73,新北市政府警察局樹林分局山佳派出所,121.3948458,24.9727581
74,新北市政府警察局樹林分局交通分隊,121.4312028,25.0004977
75,新北市政府警察局 樹林分局 柑園派出所,121.3878792,24.9542761
76,新北市政府警察局汐止分局汐止派出所,121.6599477,25.06801779999999
77,國道公路警察局第一公路警察大隊汐止分隊,121.664087,25.0794656
78,新北市政府警察局汐止分局社后派出所,121.6335142,25.063728
79,新北市政府警察局汐止分局烘內派出所,121.6467408,25.0883999
80,新北市政府警察局汐止分局東山派出所,121.6989089,25.0607073
81,新北市政府警察局汐止分局長青派出所,121.6055933,25.1111376
82,新北市政府警察局汐止分局長安派出所,121.6681601,25.0776202
83,新北市政府警察局汐止分局橫科派出所,121.6191404,25.0476071
84,新北市政府警察局 三峽分局 鶯歌分駐所,121.3533157,24.9571731
85,鶯歌警察局,121.3534212,24.9573306
86,新北市政府警察局三峽分局二橋派出所,121.3389809,24.9423213
87,新北市政府警察局 三峽分局 鳳鳴派出所,121.334427,24.9671806
88,新北市政府警察局 三峽分局 湖山派出所,121.3462057,24.9730527
89,新北市政府警察局 三峽分局,121.3752301,24.9305318
90,新北市政府警察局 三峽分局 三峽派出所,121.3696444,24.9337006
91,新北市政府警察局三峽分局交通分隊,121.3622578,24.9064806
92,新北市政府警察局三峽分局插角派出所,121.4064992,24.8708925
93,新北市政府警察局三峽分局北大派出所,121.377881,24.9441764
