,V_ID,105|kmeans_6,105|kmeans_nocity_9,105|kmeans_nocity&county_7,105|c_,105|j_,105|ht_,105|s_,105|cs_,105|e_
0,65000090-001,5,8,4,1,1,12,0,3,0
1,65000090-004,5,8,4,1,1,12,0,3,0
2,65000090-025,5,8,4,1,2,4,0,3,0
3,65000090-026,2,6,5,1,2,4,1,0,0
4,65000090-014,2,6,5,1,1,4,1,0,0
5,65000090-023,5,2,4,1,2,4,0,8,0
6,65000090-003,5,8,4,1,2,12,0,3,0
7,65000090-011,2,6,6,1,1,4,1,4,0
8,65000090-010,5,8,4,1,2,4,0,3,0
9,65000090-021,2,6,6,1,1,7,2,4,0
10,65000090-024,5,8,4,0,2,12,0,3,0
11,65000090-005,2,6,6,1,1,4,1,4,0
12,65000090-020,2,6,6,1,1,7,1,4,0
13,65000090-015,2,6,6,1,1,4,1,4,0
14,65000090-016,2,6,6,1,1,4,2,4,0
15,65000090-006,2,6,5,1,2,6,2,0,1
16,65000090-012,5,1,1,1,1,4,1,3,0
17,65000090-017,2,2,5,1,1,7,0,0,2
18,65000090-018,5,8,6,1,1,1,0,4,0
19,65000090-019,2,6,6,1,2,7,1,4,0
20,65000090-007,5,8,4,1,2,12,0,3,0
21,65000090-002,5,8,4,1,1,12,0,3,1
22,65000090-022,2,6,6,1,1,7,1,4,0
23,65000090-013,2,6,5,1,1,4,1,0,0
24,65000090-008,5,8,4,1,2,4,0,3,2
25,65000090-009,5,8,4,1,2,12,0,3,0
26,65000090-027,5,8,6,0,0,4,0,4,0
27,65000090-028,5,8,4,0,0,4,0,3,0
28,65000210-001,2,6,5,1,1,0,2,0,0
29,65000210-003,5,8,6,1,1,2,0,4,2
30,65000210-011,2,6,5,1,1,0,2,0,0
31,65000210-005,5,8,4,1,2,13,0,3,0
32,65000210-002,5,8,4,1,2,13,0,3,0
33,65000210-012,2,6,6,1,1,13,2,4,0
34,65000210-009,2,6,5,1,1,6,1,0,2
35,65000210-004,5,8,4,1,1,13,0,3,2
36,65000210-007,2,6,6,1,1,0,2,4,0
37,65000210-010,2,2,5,1,1,13,0,0,0
38,65000210-013,2,6,6,1,1,13,2,4,0
39,65000210-006,2,2,5,1,1,13,0,0,0
40,65000210-008,2,2,5,1,1,2,0,0,2
41,65000020-072,4,5,3,0,1,11,1,5,1
42,65000020-019,4,1,1,0,1,2,1,8,1
43,65000020-052,4,5,3,0,1,11,1,12,1
