,V_ID,107|kmeans_6,107|kmeans_nocity_9,107|kmeans_nocity&county_7,107|c_,107|j_,107|ht_,107|s_,107|cs_,107|e_
0,65000090-001,0,4,3,1,1,12,0,0,0
1,65000090-004,0,4,3,1,0,12,0,0,0
2,65000090-025,0,4,3,1,0,7,0,0,0
3,65000090-026,3,1,4,1,0,0,1,5,0
4,65000090-014,3,1,4,1,1,0,1,5,0
5,65000090-023,0,4,3,1,0,7,0,9,0
6,65000090-003,0,4,3,1,0,12,0,0,0
7,65000090-011,3,1,4,1,1,0,1,3,0
8,65000090-010,0,4,3,1,0,0,0,0,0
9,65000090-021,3,1,4,1,1,10,2,3,0
10,65000090-024,0,4,3,0,0,12,0,0,0
11,65000090-005,3,1,4,1,1,0,1,3,0
12,65000090-020,3,1,4,1,1,10,1,3,0
13,65000090-015,3,1,4,1,1,0,1,3,0
14,65000090-016,3,1,4,1,1,0,2,3,0
15,65000090-006,3,1,5,1,0,0,2,5,1
16,65000090-012,0,3,4,1,1,0,1,0,0
17,65000090-017,3,1,0,1,1,10,0,5,2
18,65000090-018,0,4,0,1,1,7,0,3,0
19,65000090-019,3,1,4,1,0,10,1,3,0
20,65000090-007,0,4,3,1,0,12,0,0,0
21,65000090-002,0,4,3,1,1,12,0,0,0
22,65000090-022,3,1,4,1,1,10,1,3,0
23,65000090-013,3,1,4,1,1,0,1,5,0
24,65000090-008,0,4,3,1,0,7,0,0,2
25,65000090-009,0,4,3,1,0,12,0,0,0
26,65000090-027,0,4,0,0,2,7,0,3,0
27,65000090-028,0,4,3,0,2,7,0,0,0
28,65000210-001,3,1,4,1,1,0,2,5,0
29,65000210-003,0,4,0,1,1,7,0,3,2
30,65000210-011,3,1,4,1,1,10,2,5,0
31,65000210-005,0,4,3,1,0,7,0,0,0
32,65000210-002,0,4,3,1,0,7,0,0,0
33,65000210-012,3,1,4,1,1,3,2,3,0
34,65000210-009,3,1,4,1,1,0,1,5,2
35,65000210-004,0,4,3,1,1,5,0,0,2
36,65000210-007,3,1,4,1,1,5,2,3,0
37,65000210-010,3,1,0,1,1,7,0,5,0
38,65000210-013,3,1,4,1,1,3,2,3,0
39,65000210-006,3,1,0,1,1,5,0,5,0
40,65000210-008,3,1,0,1,1,7,0,5,2
41,65000020-072,4,5,5,0,1,3,1,9,1
42,65000020-019,4,6,5,0,1,2,1,9,1
43,65000020-052,4,2,2,0,1,3,1,11,1
44,65000020-041,4,5,1,1,1,3,1,14,1
45,65000020-026,3,1,4,0,1,9,1,5,0
46,65000020-029,4,5,1,0,1,3,1,14,1
47,65000020-005,4,8,1,1,1,12,1,14,0
48,65000020-002,0,3,4,1,1,6,1,0,0
49,65000020-095,4,1,5,1,0,11,1,5,1
