,V_ID,109|kmeans_6,109|kmeans_nocity_9,109|kmeans_nocity&county_7,109|c_,109|j_,109|ht_,109|s_,109|cs_,109|e_
0,65000090-001,1,1,2,1,2,9,0,3,0
1,65000090-004,1,1,2,1,1,9,0,3,0
2,65000090-025,1,1,2,1,1,5,0,3,0
3,65000090-026,5,7,4,1,1,10,1,0,0
4,65000090-014,5,7,4,1,2,10,1,0,0
5,65000090-023,1,1,2,1,1,5,0,8,0
6,65000090-003,1,1,2,1,1,9,0,3,0
7,65000090-011,5,5,4,1,2,10,1,7,0
8,65000090-010,1,1,2,1,1,10,0,3,0
9,65000090-021,5,5,4,1,2,10,2,7,0
10,65000090-024,1,1,2,0,1,9,0,3,0
11,65000090-005,5,5,4,1,2,10,1,7,0
12,65000090-020,5,5,4,1,2,10,1,7,0
13,65000090-015,5,5,4,1,2,10,1,7,0
14,65000090-016,5,5,4,1,2,10,2,7,0
15,65000090-006,5,7,4,1,1,10,2,0,1
16,65000090-012,5,3,0,1,2,10,1,3,0
17,65000090-017,1,7,4,1,2,10,0,0,2
18,65000090-018,1,5,2,1,2,5,0,7,0
19,65000090-019,5,5,4,1,1,10,1,7,0
20,65000090-007,1,1,2,1,1,9,0,3,0
21,65000090-002,1,1,2,1,2,9,0,3,1
22,65000090-022,5,5,4,1,2,10,1,7,0
23,65000090-013,5,7,4,1,2,10,1,0,0
24,65000090-008,1,1,2,1,1,5,0,3,2
25,65000090-009,1,1,2,1,1,9,0,3,0
26,65000090-027,1,5,2,0,0,5,0,7,0
27,65000090-028,1,1,2,0,2,5,0,3,0
28,65000210-001,5,7,4,1,2,0,2,0,0
29,65000210-003,1,5,2,1,2,5,0,7,2
30,65000210-011,5,7,4,1,2,10,2,0,0
31,65000210-005,1,1,2,1,1,5,0,3,0
32,65000210-002,1,1,2,1,1,5,0,3,0
33,65000210-012,5,5,4,1,2,6,2,7,0
34,65000210-009,5,7,4,1,2,0,1,0,2
35,65000210-004,1,1,2,1,2,5,0,3,2
36,65000210-007,5,5,4,1,2,10,2,7,0
37,65000210-010,1,7,4,1,2,0,0,0,0
38,65000210-013,5,5,4,1,2,6,2,7,0
39,65000210-006,1,7,4,1,2,5,0,0,0
40,65000210-008,1,7,4,1,2,5,0,0,2
41,65000020-072,3,6,3,0,2,11,1,5,1
42,65000020-019,3,3,0,0,2,3,1,8,1
43,65000020-052,3,6,3,0,2,6,1,10,1
44,65000020-041,3,6,3,1,2,8,1,12,1
45,65000020-026,3,2,3,0,2,0,1,12,0
46,65000020-029,3,6,3,0,2,6,1,12,1
47,65000020-005,3,2,3,1,2,9,1,12,0
48,65000020-002,5,3,0,1,2,3,1,3,0
49,65000020-095,5,7,4,1,1,0,1,0,0
50,65000020-096,3,7,4,0,2,0,1,0,1
51,65000020-104,3,3,0,0,1,0,1,8,1
52,65000020-109,3,2,3,1,2,12,1,12,0
53,65000020-119,3,7,4,0,1,0,1,0,1
54,65000020-032,3,6,3,0,2,6,1,2,1
55,65000020-097,3,7,4,0,1,0,1,0,1
56,65000020-034,3,6,3,0,2,6,1,0,1
57,65000020-118,3,6,3,0,1,1,1,10,1
58,65000020-065,3,6,3,0,2,11,1,5,1
