Region,County Name,Township Name,Village Name,c_Population,c_Sex Ratio,c_Population Density,c_Dependency Ratio,c_Child Dependency Ratio,c_Elderly Dependency Ratio,c_Aging Index,c_Population aged 0-14,c_Population aged 15-64,c_Population aged 65 and above,j_15 with Doctorate Degree,j_15 with Master Degree,j_15 with University Education,j_15 with Vocational Education,j_15 with Senior High School Education,j_15 with Junior High School Education,j_15 with Elementary School Education,j_15 with Self-Taught Education,j_15 who are Illiterate,c_15 who are Unmarried,c_15 who are Married,c_15 who are Divorced,c_Natural Increase,c_Social Increase,c_Total Number of Households,ji_Total Comprehensive Income,ji_Average Comprehensive Income,ji_Median Comprehensive Income,ji_Comprehensive Income Q1,ji_Comprehensive Income Q3,ji_Comprehensive Income std,ji_Total Amount of Various Types of Income,ji_Income from Wages and Salaries,Median Housing Price with parking space,Median Housing Price no parking space,NO2,PM2.5,water,105green,m105300,m105300s,m105500,m105500s,fire,police,primary,secondary,gym,area,multiHospital,Shelter
新北市三峽區三峽里,新北市,三峽區,三峽里,318,125.53,9905.31,51.43,20.48,30.95,151.16,43,210,65,0,14,54,44,94,34,32,1,2,127,133,34,-1,-5,125,52942,715,542,301,883,640.0,52942,36483,10675000.0,6200000.0,20.297569153394804,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,38370.0,2.0,0.0
新北市三峽區中埔里,新北市,三峽區,中埔里,3169,97.69,4369.5,27.83,19.16,8.67,45.26,475,2479,215,7,96,589,280,986,484,239,3,10,1471,1298,280,20,232,1162,621249,749,581,362,955,797.12,621274,540578,10675000.0,6200000.0,20.297569153394804,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1387444.0,2.0,1.0
新北市三峽區中正里,新北市,三峽區,中正里,5537,100.83,5570.33,28.68,17.52,11.16,63.66,754,4303,480,11,130,991,457,1695,944,495,7,53,2598,2226,458,9,-93,1750,897666,697,529,345,859,581.58,897666,783188,10675000.0,6200000.0,20.297569153394804,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1477467.0,1.0,1.0
新北市三峽區二鬮里,新北市,三峽區,二鬮里,3752,103.47,1868.12,25.74,14.91,10.82,72.58,445,2984,323,10,122,720,350,1191,599,287,5,23,1720,1478,360,10,13,1346,650607,696,526,333,851,675.46,650607,556139,10675000.0,6200000.0,20.297569153394804,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6382624.0,0.0,0.0
新北市三峽區五寮里,新北市,三峽區,五寮里,985,116.48,69.88,43.8,12.7,31.09,244.83,87,685,213,1,9,118,37,301,211,176,4,41,356,459,74,-9,-5,373,97273,612,476,295,733,595.23,97273,74885,10675000.0,6200000.0,20.297569153394804,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13730198.0,0.0,1.0
新北市三峽區介壽里,新北市,三峽區,介壽里,7066,101.77,1990.36,24.97,16.27,8.7,53.48,920,5654,492,16,157,1341,603,2263,1192,524,8,42,3309,2696,794,26,79,2602,1057084,649,517,340,813,503.15,1057084,890246,10675000.0,6200000.0,20.297569153394804,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2511198.0,1.0,1.0
新北市三峽區八張里,新北市,三峽區,八張里,4243,100.9,12161.67,32.47,19.73,12.74,64.56,632,3203,408,3,125,783,401,1269,634,355,15,26,1947,1778,327,25,83,1502,783322,721,561,351,912,614.28,783322,668478,10675000.0,6200000.0,20.297569153394804,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,120010.0,2.0,0.0
新北市三峽區嘉添里,新北市,三峽區,嘉添里,2608,139.05,400.24,50.14,14.16,35.98,254.07,246,1737,625,4,64,395,196,738,496,404,18,47,1152,1080,238,-62,-27,785,406171,732,543,328,856,941.75,406423,296781,10675000.0,6200000.0,20.297569153394804,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6564512.0,0.0,2.0
新北市三峽區大埔里,新北市,三峽區,大埔里,4353,112.34,596.65,31.04,15.47,15.56,100.58,514,3322,517,23,127,697,358,1320,770,473,16,55,1886,1868,346,9,-41,1415,806840,756,583,356,984,640.87,806840,685788,10675000.0,6200000.0,20.297569153394804,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4280737.0,0.0,2.0
新北市三峽區安坑里,新北市,三峽區,安坑里,1569,126.41,82.76,42.64,15.0,27.64,184.24,165,1100,304,2,17,191,80,410,358,263,13,70,621,718,115,4,-9,603,182911,635,500,321,759,491.53,182911,147050,10675000.0,6200000.0,20.297569153394804,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20833177.0,0.0,1.0
