Region,County Name,Township Name,Village Name,c_Population,c_Sex Ratio,c_Population Density,c_Dependency Ratio,c_Child Dependency Ratio,c_Elderly Dependency Ratio,c_Aging Index,c_Population aged 0-14,c_Population aged 15-64,c_Population aged 65 and above,j_15 with Doctorate Degree,j_15 with Master Degree,j_15 with University Education,j_15 with Vocational Education,j_15 with Senior High School Education,j_15 with Junior High School Education,j_15 with Elementary School Education,j_15 with Self-Taught Education,j_15 who are Illiterate,c_15 who are Unmarried,c_15 who are Married,c_15 who are Divorced,c_Natural Increase,c_Social Increase,c_Total Number of Households,ji_Total Comprehensive Income,ji_Average Comprehensive Income,ji_Median Comprehensive Income,ji_Comprehensive Income Q1,ji_Comprehensive Income Q3,ji_Comprehensive Income std,ji_Total Amount of Various Types of Income,ji_Income from Wages and Salaries,Median Housing Price with parking space,Median Housing Price no parking space,NO2,PM2.5,water,108green,m108300,m108300s,m108500,m108500s,fire,police,primary,secondary,gym,area,multiHospital,Shelter
臺北市大同區建明里,臺北市,大同區,建明里,3387,91.9,22676.45,47.13,16.81,30.32,180.36,387,2302,698,33,293,1060,413,795,202,195,4,5,1004.0,1505.0,287.0,10,-70,1528,1025023.0,874.0,466.0,199.0,994.0,1377.37,1116766.0,536366.0,24695000.0,12870000.0,31.0,17.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,149725.0,3.0,42.0
臺北市大同區建泰里,臺北市,大同區,建泰里,3870,93.69,30095.65,51.94,24.42,27.52,112.7,622,2547,701,43,330,1114,474,860,216,200,4,7,1043.0,1736.0,241.0,15,-86,1632,1340582.0,1000.0,555.0,242.0,1188.0,1533.55,1385976.0,808478.0,24695000.0,12870000.0,31.0,17.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,124500.0,3.0,67.0
臺北市大同區揚雅里,臺北市,大同區,揚雅里,4556,118.3,68311.99,41.49,11.37,30.12,265.03,366,3220,970,23,245,1005,530,1236,559,519,14,59,1534.0,1752.0,636.0,-25,87,2398,886707.0,762.0,423.0,207.0,864.0,1270.31,976524.0,599864.0,24695000.0,12870000.0,51.0,25.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,66623.0,3.0,33.0
臺北市大同區斯文里,臺北市,大同區,斯文里,4875,96.81,44188.43,41.06,14.35,26.71,186.09,496,3456,923,36,341,1256,519,1264,476,428,13,46,1494.0,2130.0,417.0,9,-211,2080,1222252.0,797.0,443.0,199.0,921.0,1301.86,1370072.0,839465.0,24695000.0,12870000.0,36.0,25.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,102828.0,3.0,27.0
臺北市大同區星明里,臺北市,大同區,星明里,6343,90.54,40782.08,49.56,26.08,23.49,90.05,1106,4241,996,59,541,1763,679,1410,407,351,9,18,1660.0,2827.0,425.0,36,-106,2634,1913230.0,945.0,567.0,246.0,1160.0,1252.67,2253101.0,1231086.0,24695000.0,12870000.0,51.0,25.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,155570.0,4.0,57.0
臺北市大同區景星里,臺北市,大同區,景星里,2747,99.93,25263.25,46.9,16.9,30.0,177.53,316,1870,561,13,156,563,282,728,301,357,6,25,872.0,1079.0,280.0,-17,-17,1161,473590.0,645.0,403.0,197.0,799.0,800.02,471875.0,366196.0,24695000.0,12870000.0,51.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,114453.0,3.0,14.0
臺北市大同區朝陽里,臺北市,大同區,朝陽里,4521,91.41,44275.35,41.64,14.16,27.47,194.03,452,3192,877,44,371,1381,562,1052,320,313,9,17,1371.0,2026.0,385.0,12,-9,2029,1434049.0,916.0,485.0,211.0,1045.0,1512.83,1658078.0,870331.0,24695000.0,12870000.0,51.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,103312.0,4.0,71.0
臺北市大同區民權里,臺北市,大同區,民權里,6729,90.79,31384.24,47.4,25.54,21.86,85.59,1166,4565,998,68,562,1924,819,1383,402,376,11,18,1851.0,2920.0,431.0,15,-94,2578,2084250.0,961.0,588.0,246.0,1229.0,1305.72,2223620.0,1444169.0,24695000.0,12870000.0,51.0,25.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,212559.0,4.0,58.0
臺北市大同區永樂里,臺北市,大同區,永樂里,5383,98.12,24890.87,47.48,18.27,29.21,159.82,667,3650,1066,56,472,1679,600,1228,354,319,4,4,1532.0,2550.0,328.0,8,-158,2230,1989927.0,1062.0,513.0,228.0,1088.0,2693.38,2301203.0,1063107.0,24695000.0,12870000.0,51.0,5.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,223950.0,2.0,99.0
臺北市大同區玉泉里,臺北市,大同區,玉泉里,3008,96.47,9179.58,50.17,17.07,33.1,193.86,342,2003,663,20,237,932,343,708,225,188,3,10,851.0,1447.0,192.0,0,-46,1260,998192.0,969.0,520.0,245.0,1172.0,1433.32,1075041.0,569483.0,24695000.0,12870000.0,28.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,327650.0,2.0,55.0
