index,County Name,Township Name,Village Name,QoL,Child Dependency Ratio,Elderly Dependency Ratio,Social Increase,Average Income,Metro 300 Multi,Metro 500 Multi,V_ID
新北市三重區二重里,新北市,三重區,二重里,2.3393401948620514,0.2,0.2,0.4,0.1,0.0,0.0,65000020-002
新北市三重區五常里,新北市,三重區,五常里,-0.5719674528142898,0.3,0.2,0.3,0.1,0.0,0.0,65000020-095
新北市三重區五福里,新北市,三重區,五福里,-0.9492691768964017,0.4,0.1,0.2,0.3,0.0,0.0,65000020-096
新北市三重區五華里,新北市,三重區,五華里,-0.40874042286541484,0.4,0.1,0.3,0.4,0.0,0.0,65000020-104
新北市三重區五谷里,新北市,三重區,五谷里,2.590170743824972,0.1,0.2,0.5,0.2,0.0,0.0,65000020-109
新北市三重區五順里,新北市,三重區,五順里,-1.9351207937258594,0.3,0.2,0.3,0.1,0.0,0.0,65000020-119
新北市三重區仁德里,新北市,三重區,仁德里,2.4855419824589204,0.1,0.4,0.3,0.1,0.0,1.0,65000020-032
新北市三重區仁忠里,新北市,三重區,仁忠里,-1.617215202449483,0.4,0.3,0.2,0.1,0.0,0.0,65000020-097
新北市三重區仁義里,新北市,三重區,仁義里,0.9096402714705815,0.2,0.2,0.4,0.2,0.0,0.0,65000020-034
新北市三重區仁華里,新北市,三重區,仁華里,2.2836963610683836,0.4,0.2,0.5,0.3,0.0,1.0,65000020-118
新北市三重區介壽里,新北市,三重區,介壽里,2.9428409181052584,0.3,0.4,0.3,0.2,0.0,0.0,65000020-065
新北市三重區信安里,新北市,三重區,信安里,2.8783611135633485,0.3,0.2,0.3,0.3,0.0,0.0,65000020-074
新北市三重區光明里,新北市,三重區,光明里,1.035811375029886,0.4,0.1,0.2,0.3,0.0,0.0,65000020-020
新北市三重區光榮里,新北市,三重區,光榮里,1.7872633979158263,0.1,0.3,0.3,0.3,0.0,0.0,65000020-035
新北市三重區光正里,新北市,三重區,光正里,2.0098102961006212,0.2,0.1,0.5,0.5,0.0,0.0,65000020-021
新北市三重區光田里,新北市,三重區,光田里,0.32769512420390845,0.1,0.3,0.3,0.3,0.0,0.0,65000020-013
新北市三重區光華里,新北市,三重區,光華里,2.52786922957178,0.1,0.3,0.5,0.3,0.0,0.0,65000020-057
新北市三重區光輝里,新北市,三重區,光輝里,1.9175602156212896,0.1,0.3,0.4,0.2,0.0,0.0,65000020-036
新北市三重區光陽里,新北市,三重區,光陽里,1.9773705181102543,0.1,0.2,0.2,0.3,0.0,0.0,65000020-014
新北市三重區六合里,新北市,三重區,六合里,-0.8749547607180338,0.3,0.2,0.3,0.1,0.0,0.0,65000020-077
新北市三重區六福里,新北市,三重區,六福里,0.27802908034838514,0.5,0.1,0.3,0.2,0.0,0.0,65000020-078
新北市三重區博愛里,新北市,三重區,博愛里,-0.904187829514905,0.2,0.2,0.2,0.2,0.0,0.0,65000020-110
新北市三重區厚德里,新北市,三重區,厚德里,0.7219316401077749,0.4,0.2,0.3,0.3,0.0,0.0,65000020-083
新北市三重區吉利里,新北市,三重區,吉利里,2.130435526947223,0.1,0.3,0.4,0.1,0.0,0.0,65000020-027
新北市三重區同安里,新北市,三重區,同安里,0.45966751876548895,0.2,0.2,0.4,0.1,0.0,0.0,65000020-022
新北市三重區同慶里,新北市,三重區,同慶里,-0.39855687772827664,0.2,0.2,0.3,0.3,0.0,0.0,65000020-023
新北市三重區國隆里,新北市,三重區,國隆里,1.3524563442952549,0.2,0.2,0.2,0.2,0.0,0.0,65000020-043
新北市三重區培德里,新北市,三重區,培德里,1.896637370567931,0.4,0.2,0.2,0.2,0.0,0.0,65000020-086
新北市三重區大同里,新北市,三重區,大同里,2.656584087354848,0.1,0.2,0.4,0.3,0.0,0.0,65000020-028
新北市三重區大園里,新北市,三重區,大園里,0.2575391154123502,0.4,0.2,0.4,0.3,0.0,0.0,65000020-042
新北市三重區大安里,新北市,三重區,大安里,0.45539359126911777,0.2,0.2,0.3,0.1,0.0,0.0,65000020-031
新北市三重區大德里,新北市,三重區,大德里,3.9038682653055123,0.1,0.3,0.4,0.2,0.0,0.0,65000020-060
新北市三重區大有里,新北市,三重區,大有里,0.28314022272857514,0.3,0.2,0.2,0.2,0.0,0.0,65000020-001
新北市三重區奕壽里,新北市,三重區,奕壽里,3.068890999244478,0.2,0.3,0.4,0.3,0.0,0.0,65000020-071
新北市三重區安慶里,新北市,三重區,安慶里,2.140036500119791,0.1,0.3,0.4,0.1,0.0,0.0,65000020-075
新北市三重區富福里,新北市,三重區,富福里,1.1169235963566162,0.4,0.2,0.5,0.1,0.0,0.0,65000020-107
新北市三重區富華里,新北市,三重區,富華里,-0.3510700926587318,0.5,0.2,0.4,0.3,0.0,0.0,65000020-106
新北市三重區富貴里,新北市,三重區,富貴里,1.0719049714201858,0.4,0.1,0.5,0.5,0.0,0.0,65000020-105
新北市三重區尚德里,新北市,三重區,尚德里,1.6302196504724327,0.3,0.3,0.3,0.1,0.0,0.0,65000020-085
新北市三重區崇德里,新北市,三重區,崇德里,2.386037498503052,0.2,0.3,0.2,0.1,0.0,0.0,65000020-082
新北市三重區平和里,新北市,三重區,平和里,1.253827770748711,0.1,0.4,0.4,0.1,0.0,0.0,65000020-030
新北市三重區幸福里,新北市,三重區,幸福里,0.22104015407716857,0.2,0.2,0.3,0.2,0.0,0.0,65000020-076
新北市三重區德厚里,新北市,三重區,德厚里,2.1707079960318425,0.1,0.5,0.4,0.2,0.0,0.0,65000020-006
新北市三重區忠孝里,新北市,三重區,忠孝里,0.4555824607219717,0.2,0.4,0.4,0.2,0.0,0.0,65000020-033
新北市三重區慈化里,新北市,三重區,慈化里,0.9280067576269074,0.4,0.2,0.5,0.1,0.0,0.0,65000020-102
新北市三重區慈惠里,新北市,三重區,慈惠里,0.5678298628409645,0.2,0.3,0.4,0.2,0.0,0.0,65000020-100
新北市三重區慈愛里,新北市,三重區,慈愛里,1.8321645065054628,0.2,0.3,0.2,0.1,0.0,1.0,65000020-101
新北市三重區慈生里,新北市,三重區,慈生里,2.404234584402892,0.2,0.4,0.3,0.1,0.0,1.0,65000020-099
新北市三重區慈祐里,新北市,三重區,慈祐里,-0.15843979764022972,0.4,0.2,0.5,0.2,0.0,0.0,65000020-103
新北市三重區慈福里,新北市,三重區,慈福里,2.345696490205343,0.2,0.3,0.4,0.1,0.0,1.0,65000020-098
新北市三重區成功里,新北市,三重區,成功里,1.9804583568505834,0.4,0.1,0.5,0.4,0.0,0.0,65000020-007
新北市三重區承德里,新北市,三重區,承德里,1.381365638434455,0.1,0.3,0.4,0.2,0.0,0.0,65000020-080
新北市三重區文化里,新北市,三重區,文化里,2.573961121067656,0.3,0.5,0.3,0.2,0.0,0.0,65000020-051
新北市三重區正安里,新北市,三重區,正安里,2.480852497370993,0.2,0.3,0.4,0.2,0.0,0.0,65000020-049
新北市三重區正德里,新北市,三重區,正德里,1.7932803816780598,0.3,0.5,0.3,0.1,0.0,0.0,65000020-047
新北市三重區正義里,新北市,三重區,正義里,1.9081210890628921,0.4,0.3,0.4,0.3,0.0,1.0,65000020-048
新北市三重區民生里,新北市,三重區,民生里,-0.8982747249141306,0.3,0.3,0.5,0.1,0.0,0.0,65000020-045
新北市三重區永吉里,新北市,三重區,永吉里,1.7479269909934114,0.4,0.2,0.2,0.2,0.0,0.0,65000020-112
新北市三重區永安里,新北市,三重區,永安里,1.1675914788958293,0.4,0.1,0.5,0.2,0.0,0.0,65000020-091
新北市三重區永德里,新北市,三重區,永德里,1.8983989181139902,0.4,0.2,0.2,0.1,0.0,0.0,65000020-087
