Region,County Name,Township Name,Village Name,c_Population,c_Sex Ratio,c_Population Density,c_Dependency Ratio,c_Child Dependency Ratio,c_Elderly Dependency Ratio,c_Aging Index,c_Population aged 0-14,c_Population aged 15-64,c_Population aged 65 and above,j_15 with Doctorate Degree,j_15 with Master Degree,j_15 with University Education,j_15 with Vocational Education,j_15 with Senior High School Education,j_15 with Junior High School Education,j_15 with Elementary School Education,j_15 with Self-Taught Education,j_15 who are Illiterate,c_15 who are Unmarried,c_15 who are Married,c_15 who are Divorced,c_Natural Increase,c_Social Increase,c_Total Number of Households,ji_Total Comprehensive Income,ji_Average Comprehensive Income,ji_Median Comprehensive Income,ji_Comprehensive Income Q1,ji_Comprehensive Income Q3,ji_Comprehensive Income std,ji_Total Amount of Various Types of Income,ji_Income from Wages and Salaries,Median Housing Price with parking space,Median Housing Price no parking space,NO2,PM2.5,water,109green,m109300,m109300s,m109500,m109500s,fire,police,primary,secondary,gym,area,multiHospital,Shelter
新北市萬里區崁?里,新北市,萬里區,崁?里,452,104.52,67.71,45.81,9.68,36.13,373.33,30,310,112,0,7,76,37,133,84,65,2,18,124,202,42,-1,-4,173,56164.0,540.0,326.0,180.0,593.0,742.7,56164.0,40686.0,2000000.0,1170000.0,24.442590120160215,89.08010680907877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
新北市萬里區溪底里,新北市,萬里區,溪底里,706,119.25,50.38,52.81,7.14,45.67,639.39,33,462,211,1,13,95,52,211,130,139,17,15,143,402,60,-7,4,289,61331.0,507.0,357.0,182.0,687.0,477.46,61331.0,40662.0,2000000.0,1170000.0,33.0,95.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14215286.0,0.0,0.0
新北市萬里區磺潭里,新北市,萬里區,磺潭里,659,118.94,72.14,45.47,14.35,31.13,216.92,65,453,141,0,13,91,44,161,150,110,3,22,146,314,74,-2,-2,237,74638.0,511.0,355.0,186.0,585.0,557.48,74638.0,51676.0,2000000.0,1170000.0,33.0,107.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9030705.0,2.0,1.0
新北市萬里區萬里里,新北市,萬里區,萬里里,4966,97.77,1841.49,33.57,13.99,19.58,140.0,520,3718,728,4,134,907,437,1558,744,578,5,79,1434,2179,451,4,-52,1488,593690.0,485.0,341.0,185.0,607.0,530.35,593690.0,465744.0,2000000.0,1170000.0,15.0,126.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2859283.0,0.0,4.0
新北市萬里區野柳里,新北市,萬里區,野柳里,3603,91.34,654.13,34.09,12.17,21.92,180.12,327,2687,589,2,73,567,282,1045,649,568,12,78,916,1770,350,-4,-25,1104,337387.0,492.0,327.0,174.0,581.0,572.07,337387.0,257572.0,2000000.0,1170000.0,22.0,120.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5730578.0,0.0,2.0
新北市萬里區雙興里,新北市,萬里區,雙興里,1077,120.7,79.92,50.21,11.02,39.19,355.7,79,717,281,1,20,142,75,279,235,186,12,48,254,532,96,-14,32,398,122531.0,628.0,405.0,226.0,713.0,806.2,122531.0,83800.0,2000000.0,1170000.0,35.0,116.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13644870.0,0.0,1.0
新北市萬里區龜吼里,新北市,萬里區,龜吼里,2851,104.96,819.64,50.05,12.42,37.63,302.97,236,1900,715,11,98,564,252,764,397,457,7,65,847,1231,346,-33,7,1000,307201.0,553.0,344.0,156.0,723.0,899.53,307216.0,226841.0,2000000.0,1170000.0,20.0,126.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3600856.0,0.0,3.0
新北市蘆洲區中原里,新北市,蘆洲區,中原里,6374,95.52,45831.72,35.33,20.38,14.95,73.33,960,4710,704,20,309,1556,606,1615,837,442,6,23,1915,2703,472,22,26,2292,1262689.0,705.0,415.0,195.0,898.0,891.29,1304874.0,943315.0,16500000.0,9800000.0,20.0,94.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,171694.0,1.0,1.0
新北市蘆洲區中華里,新北市,蘆洲區,中華里,3450,94.59,40619.78,40.24,17.24,23.01,133.49,424,2460,566,9,123,854,308,897,470,341,5,19,1063,1457,299,5,38,1284,592472.0,631.0,394.0,194.0,771.0,801.7,592472.0,447003.0,16500000.0,9800000.0,20.0,118.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,84431.0,0.0,0.0
新北市蘆洲區中路里,新北市,蘆洲區,中路里,4297,97.84,33678.98,35.21,17.94,17.28,96.32,570,3178,549,9,158,1024,489,1041,580,411,2,13,1340,1834,306,15,-42,1532,703128.0,578.0,385.0,188.0,715.0,666.97,706157.0,539749.0,16500000.0,9800000.0,20.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,126186.0,1.0,1.0
新北市蘆洲區九芎里,新北市,蘆洲區,九芎里,5662,95.11,79306.38,28.71,14.44,14.28,98.9,635,4399,628,8,207,1418,513,1553,877,428,6,17,1862,2370,513,17,-58,1964,866626.0,549.0,381.0,197.0,687.0,618.1,894489.0,672715.0,16500000.0,9800000.0,20.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70793.0,1.0,0.0
新北市蘆洲區仁復里,新北市,蘆洲區,仁復里,2183,98.82,36237.18,41.02,16.02,25.0,156.05,248,1548,387,10,89,509,243,585,234,250,4,11,687,910,213,0,-70,858,372449.0,665.0,403.0,174.0,798.0,1009.31,373530.0,260191.0,16500000.0,9800000.0,20.0,94.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,59830.0,0.0,0.0
新北市蘆洲區仁德里,新北市,蘆洲區,仁德里,5756,98.48,78553.39,34.99,18.34,16.65,90.79,782,4264,710,15,300,1414,545,1356,850,459,9,26,1773,2540,394,12,29,2005,1003472.0,620.0,391.0,193.0,774.0,753.48,1003486.0,786310.0,16500000.0,9800000.0,22.0,94.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,74524.0,0.0,1.0
新北市蘆洲區仁愛里,新北市,蘆洲區,仁愛里,5455,95.59,75348.43,28.2,13.77,14.43,104.78,586,4255,614,14,273,1436,490,1438,747,442,5,24,1846,2405,343,9,-39,1873,958341.0,585.0,370.0,194.0,759.0,682.42,958674.0,741168.0,16500000.0,9800000.0,20.0,94.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,80973.0,0.0,0.0
新北市蘆洲區仁義里,新北市,蘆洲區,仁義里,5567,118.23,78387.47,28.27,11.31,16.96,149.9,491,4340,736,13,263,1172,511,1659,984,454,7,13,1793,2040,947,-14,54,2811,955950.0,734.0,415.0,202.0,840.0,963.01,956244.0,727406.0,16500000.0,9800000.0,22.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,70842.0,0.0,0.0
新北市蘆洲區保佑里,新北市,蘆洲區,保佑里,3921,97.83,25829.87,38.94,17.19,21.76,126.6,485,2822,614,9,170,932,391,938,563,400,4,29,1235,1632,306,-1,-19,1426,615744.0,558.0,370.0,179.0,700.0,611.17,615744.0,487773.0,16500000.0,9800000.0,20.0,94.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,151719.0,1.0,0.0
新北市蘆洲區保和里,新北市,蘆洲區,保和里,2688,96.06,14572.11,36.72,15.56,21.16,135.95,306,1966,416,8,114,657,264,693,353,280,1,12,874,1118,218,10,-33,991,435021.0,611.0,418.0,193.0,797.0,651.2,435021.0,327076.0,16500000.0,9800000.0,20.0,94.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,181310.0,0.0,3.0
新北市蘆洲區保新里,新北市,蘆洲區,保新里,3882,95.08,5340.27,33.54,16.2,17.34,107.01,471,2907,504,16,195,1029,371,997,463,316,6,18,1210,1613,361,13,293,1471,784632.0,681.0,419.0,205.0,828.0,805.97,784632.0,585653.0,16500000.0,9800000.0,21.0,94.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,615486.0,1.0,0.0
新北市蘆洲區信義里,新北市,蘆洲區,信義里,4196,98.21,73580.47,34.7,16.79,17.91,106.69,523,3115,558,11,151,970,374,1067,707,360,7,26,1265,1836,341,13,-39,1452,620714.0,567.0,383.0,205.0,703.0,632.6,620714.0,484340.0,16500000.0,9800000.0,22.0,94.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,56327.0,0.0,0.0
新北市蘆洲區光明里,新北市,蘆洲區,光明里,5110,94.59,70447.78,34.62,17.86,16.75,93.81,678,3796,636,9,174,1200,527,1355,651,487,8,21,1594,2129,425,6,-75,1796,879966.0,627.0,414.0,210.0,803.0,685.9,943241.0,687919.0,16500000.0,9800000.0,20.0,94.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,88118.0,1.0,0.0
新北市蘆洲區光華里,新北市,蘆洲區,光華里,5533,90.6,75079.72,34.33,15.78,18.55,117.54,650,4119,764,7,278,1344,531,1404,783,498,11,27,1760,2393,400,14,-11,2030,993625.0,637.0,411.0,190.0,786.0,852.25,993830.0,748947.0,16500000.0,9800000.0,20.0,94.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,73362.0,1.0,0.0
新北市蘆洲區南港里,新北市,蘆洲區,南港里,6353,95.84,35890.22,32.22,19.6,12.61,64.33,942,4805,606,10,242,1600,642,1686,823,378,8,22,2024,2602,466,20,33,2088,994043.0,585.0,390.0,201.0,732.0,639.67,994043.0,785607.0,16500000.0,9800000.0,21.0,93.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,173553.0,1.0,0.0
新北市蘆洲區延平里,新北市,蘆洲區,延平里,4294,98.98,72085.68,26.48,14.05,12.43,88.47,477,3395,422,6,151,1016,413,1228,704,275,5,19,1414,1810,383,14,-39,1553,690948.0,589.0,388.0,187.0,718.0,790.25,691145.0,547493.0,16500000.0,9800000.0,20.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61093.0,1.0,0.0
新北市蘆洲區得仁里,新北市,蘆洲區,得仁里,3127,94.83,8409.87,35.13,14.43,20.7,143.41,334,2314,479,5,120,684,300,857,520,288,3,16,947,1381,258,7,-28,1161,540683.0,563.0,368.0,196.0,698.0,627.51,540683.0,395049.0,16500000.0,9800000.0,17.0,118.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,368779.0,0.0,1.0
新北市蘆洲區得勝里,新北市,蘆洲區,得勝里,3429,95.61,37692.5,37.99,13.52,24.47,180.95,336,2485,608,8,117,788,321,958,501,378,2,20,1159,1353,303,-8,-5,1301,521863.0,564.0,367.0,198.0,676.0,745.61,521863.0,363602.0,16500000.0,9800000.0,20.0,118.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,92673.0,0.0,0.0
新北市蘆洲區復興里,新北市,蘆洲區,復興里,3646,99.89,2572.86,30.45,13.2,17.25,130.62,369,2795,482,7,125,805,329,1068,578,340,3,22,1230,1556,288,1,-27,1301,503265.0,531.0,374.0,195.0,650.0,580.0,503265.0,388955.0,16500000.0,9800000.0,22.0,94.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,755420.0,0.0,0.0
新北市蘆洲區忠孝里,新北市,蘆洲區,忠孝里,2547,96.22,53746.65,29.95,15.56,14.39,92.46,305,1960,282,5,118,650,257,642,384,177,1,8,847,1075,190,4,-17,857,438138.0,593.0,411.0,186.0,725.0,693.99,438138.0,345390.0,16500000.0,9800000.0,20.0,94.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,40093.0,0.0,0.0
新北市蘆洲區忠義里,新北市,蘆洲區,忠義里,3395,94.56,42620.77,32.1,16.89,15.21,90.09,434,2570,391,9,108,789,362,948,485,239,1,20,1063,1412,317,12,-38,1231,557461.0,602.0,378.0,196.0,722.0,964.57,593447.0,416744.0,16500000.0,9800000.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78985.0,1.0,0.0
