index,Year,County Name,Township Name,Village Name,c_marital,c_popcal_Population Density,c_popcal_Natural Increase,c_popcal_Social Increase,h,j_income,j_edu_1,j_edu_2,ht_NO2,ht_PM2.5,e_Water,e_Green,cs_trans_Metro 300,cs_trans_Metro 300 Multi,cs_trans_Metro 500,cs_trans_Metro 500 Multi,s_Fire,s_Police,cs_school_Primary,cs_school_Secondary,cs_leisure_Gym,e_Area,ht_Hospital,s_Shelter,County Name_Taipei,Township Name_三峽區,Township Name_三芝區,Township Name_三重區,Township Name_中和區,Township Name_五股區,Township Name_八里區,Township Name_土城區,Township Name_坪林區,Township Name_平溪區,Township Name_新店區,Township Name_新莊區,Township Name_板橋區,Township Name_林口區,Township Name_樹林區,Township Name_永和區,Township Name_汐止區,Township Name_泰山區,Township Name_淡水區,Township Name_深坑區,Township Name_烏來區,Township Name_瑞芳區,Township Name_石碇區,Township Name_石門區,Township Name_萬里區,Township Name_蘆洲區,Township Name_貢寮區,Township Name_金山區,Township Name_雙溪區,Township Name_鶯歌區,Township Name_中山區,Township Name_中正區,Township Name_信義區,Township Name_內湖區,Township Name_北投區,Township Name_南港區,Township Name_士林區,Township Name_大同區,Township Name_大安區,Township Name_文山區,Township Name_松山區,V_ID
新北市三峽區三峽里,106,新北市,三峽區,三峽里,0.006828881540290474,0.0733743104698282,0.1406014880210895,0.3714695405770581,0.1358007883902969,0.026276746254943913,0.009047229730374898,0.38384726914374684,0.31010616655138107,0.1815561565277598,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.00020609710160777043,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000090-001
新北市三峽區中埔里,106,新北市,三峽區,中埔里,0.11794891054185652,0.035042234375959894,0.16775973159989688,0.38476753593545426,0.1358007883902969,0.07330390851014654,0.12387291704478672,0.5587590162861487,0.31010616655138107,0.23835172809514982,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.005188119926666175,0.2857142857142857,0.003875968992248062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000090-004
新北市三峽區中正里,106,新北市,三峽區,中正里,0.18326694314766753,0.04328170950726634,0.16650087623790508,0.3742642155830451,0.1358007883902969,0.05966157010698097,0.19184890178740002,0.7276449446984397,0.31010616655138107,0.1815561565277598,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.005402602600216436,0.14285714285714285,0.003875968992248062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000090-025
新北市三峽區二鬮里,106,新北市,三峽區,二鬮里,0.130830502793803,0.014880115694127404,0.15291808800888135,0.3694118786960748,0.1358007883902969,0.12806675882343338,0.14441791381668057,0.5954209577973276,0.31010616655138107,0.23835172809514982,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.009231148957910067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000090-026
新北市三峽區五寮里,106,新北市,三峽區,五寮里,0.0329244142490492,0.0005355668032971426,0.1356082539256619,0.37034804640662244,0.1358007883902969,0.006523099206991035,0.031229371455871815,0.4584078905336,0.31010616655138107,0.23835172809514982,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.009488384229292452,0.0,0.003875968992248062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000090-014
新北市三峽區介壽里,106,新北市,三峽區,介壽里,0.2153504510384975,0.015799303877939586,0.17724485467483825,0.3616803031479416,0.1358007883902969,0.09114307268205259,0.23802167632957322,0.8288875640242057,0.31010616655138107,0.1815561565277598,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.007214455513824434,0.14285714285714285,0.003875968992248062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000090-023
新北市三峽區八張里,106,新北市,三峽區,八張里,0.14852741473153402,0.08921900789082733,0.1652248419426527,0.3714695405770581,0.1358007883902969,0.06657732942009155,0.15495500296243223,0.6153099297258919,0.31010616655138107,0.1815561565277598,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.000629709320223601,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000090-003
新北市三峽區嘉添里,106,新北市,三峽區,嘉添里,0.09258675694576445,0.0031638897710649515,0.0,0.3744500688156607,0.1358007883902969,0.02710877215119263,0.09184159940423277,0.5596224608431374,0.31010616655138107,0.1815561565277598,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.009256215258136323,0.0,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000090-011
新北市三峽區大埔里,106,新北市,三峽區,大埔里,0.1482357210575028,0.004756394899691889,0.15145346182130287,0.36376431170878254,0.1358007883902969,0.044700540523692746,0.1517298733821877,0.6571239482686588,0.31010616655138107,0.1815561565277598,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.008649899017279554,0.0,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000090-010
新北市三峽區安坑里,106,新北市,三峽區,安坑里,0.05625633937249875,0.0006352855255959678,0.12678783772812519,0.3684742621427596,0.1358007883902969,0.01044864111961592,0.049675083097084384,0.4964752242024199,0.31010616655138107,0.23835172809514982,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.009493132563957788,0.0,0.003875968992248062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000090-021
