index,Year,County Name,Township Name,Village Name,c_marital,c_popcal_Population Density,c_popcal_Natural Increase,c_popcal_Social Increase,h,j_income,j_edu_1,j_edu_2,ht_NO2,ht_PM2.5,e_Water,e_Green,cs_trans_Metro 300,cs_trans_Metro 300 Multi,cs_trans_Metro 500,cs_trans_Metro 500 Multi,s_Fire,s_Police,cs_school_Primary,cs_school_Secondary,cs_leisure_Gym,e_Area,ht_Hospital,s_Shelter,County Name_Taipei,Township Name_三峽區,Township Name_三芝區,Township Name_三重區,Township Name_中和區,Township Name_五股區,Township Name_八里區,Township Name_土城區,Township Name_坪林區,Township Name_平溪區,Township Name_新店區,Township Name_新莊區,Township Name_板橋區,Township Name_林口區,Township Name_樹林區,Township Name_永和區,Township Name_汐止區,Township Name_泰山區,Township Name_淡水區,Township Name_深坑區,Township Name_烏來區,Township Name_瑞芳區,Township Name_石碇區,Township Name_石門區,Township Name_萬里區,Township Name_蘆洲區,Township Name_貢寮區,Township Name_金山區,Township Name_雙溪區,Township Name_鶯歌區,Township Name_中山區,Township Name_中正區,Township Name_信義區,Township Name_內湖區,Township Name_北投區,Township Name_南港區,Township Name_士林區,Township Name_大同區,Township Name_大安區,Township Name_文山區,Township Name_松山區,V_ID
新北市三峽區三峽里,108,新北市,三峽區,三峽里,0.006574421361804779,0.07688695275855639,0.18225748977614983,0.07546184808493343,0.1933664588670365,0.002865173479705693,0.008288840110282036,0.3614084141682281,0.14449083226393336,0.10101582971997268,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0002061473606714865,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000090-001
新北市三峽區中埔里,108,新北市,三峽區,中埔里,0.11078219488788826,0.03687274347706323,0.19757601361486848,0.08115257747366698,0.1933664588670365,0.04005926337997717,0.10890092138494462,0.5285820819277236,0.15353668579861102,0.10101582971997268,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.005228113432104273,0.2857142857142857,0.003875968992248062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000090-004
新北市三峽區中正里,108,新北市,三峽區,中正里,0.1664405188573429,0.04333687015814836,0.2022500834172634,0.07197739225433711,0.1933664588670365,0.05143961675173209,0.16137543668405765,0.6699999902483714,0.14082274074367815,0.10101582971997268,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0054465350317482895,0.14285714285714285,0.003875968992248062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000090-025
新北市三峽區二鬮里,108,新北市,三峽區,二鬮里,0.12218298385433259,0.015143430454993478,0.19393454666702503,0.07587155441743218,0.1933664588670365,0.03984583839651235,0.12253012980139062,0.5644518980752602,0.14780776420847505,0.09802622944684408,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.009419345850298421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000090-026
新北市三峽區五寮里,108,新北市,三峽區,五寮里,0.03060916969238615,0.0005084103626097757,0.1723219810532966,0.07174681908763951,0.1933664588670365,0.0043171593882621985,0.025447690472111782,0.42882759950409116,0.1345648598766769,0.09492573071445015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.00970387201593395,0.0,0.003875968992248062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000090-014
新北市三峽區介壽里,108,新北市,三峽區,介壽里,0.19929182446315025,0.016159000683467855,0.22286186193256,0.07343856529683136,0.1933664588670365,0.05703269098936328,0.20085409504778867,0.7835788610619201,0.14082274074367815,0.10101582971997268,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0073036427682335635,0.14285714285714285,0.003875968992248062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000090-023
新北市三峽區八張里,108,新北市,三峽區,八張里,0.13540274842730451,0.09088911549346164,0.18225748977614983,0.078311505425425,0.1933664588670365,0.047260263886698795,0.13232455988529937,0.5830328008795479,0.14780776420847505,0.10101582971997268,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0006301859235224768,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000090-003
新北市三峽區嘉添里,108,新北市,三峽區,嘉添里,0.08468087508736341,0.003026171752448768,0.11481485351924824,0.07174681908763951,0.1933664588670365,0.024085796179273436,0.07525940983788831,0.5202452267841244,0.13884358324539287,0.10101582971997268,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.009446530973807599,0.0,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000090-011
新北市三峽區大埔里,108,新北市,三峽區,大埔里,0.13779468792096844,0.004797823436160581,0.1583116358311937,0.07812371875368404,0.1933664588670365,0.046672566752522376,0.12829427769404145,0.6109507190988773,0.14780776420847505,0.10101582971997268,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.008799333663951678,0.0,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000090-010
新北市三峽區安坑里,108,新北市,三峽區,安坑里,0.053380182666347316,0.0006255277850315347,0.16314618676892306,0.07288418342651143,0.1933664588670365,0.011634014445246879,0.042222413158401445,0.462110478477026,0.10848867032239522,0.10668050042538368,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00970961006620202,0.0,0.003875968992248062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000090-021
