V_ID,QoL_PR
65000130-011,19.56
65000130-026,45.7
65000130-036,51.21
65000130-008,72.65
65000130-046,15.86
65000130-005,80.31
65000130-045,39.85
65000130-032,77.08
65000130-023,78.43
65000130-025,49.73
65000130-024,32.73
65000200-005,27.55
65000200-002,52.35
65000200-003,43.75
65000200-006,53.49
65000200-007,26.75
65000200-004,13.78
65000200-001,11.63
65000240-011,24.73
65000240-009,34.27
65000240-006,55.51
65000240-010,21.37
65000240-005,76.95
65000240-012,20.9
65000240-008,8.06
65000240-007,37.7
65000240-003,76.34
65000240-004,71.37
65000240-002,62.57
65000240-001,5.65
65000060-013,9.61
65000060-054,80.04
65000060-052,93.15
65000060-044,84.68
65000060-037,71.03
65000060-045,84.54
65000060-041,0.4
65000060-046,87.16
65000060-008,64.45
65000060-016,2.42
65000060-057,1.68
65000060-053,58
65000060-023,6.92
65000060-033,74.4
65000060-001,85.42
65000060-021,35.75
65000060-004,56.59
65000060-003,76.61
65000060-010,69.02
65000060-011,83.87
65000060-056,73.59
65000060-064,1.61
65000060-007,83.27
65000060-058,65.26
65000060-006,88.98
65000060-059,28.56
65000060-026,25.94
65000060-035,80.44
65000060-028,38.64
65000060-061,51.88
65000060-040,74.06
65000060-032,94.96
65000060-062,84.27
65000060-017,7.39
65000060-009,62.84
65000060-043,62.7
65000060-034,89.45
65000060-036,69.96
65000060-066,68.01
65000060-042,21.24
65000060-031,77.42
65000060-039,91.67
65000060-038,81.05
65000060-019,1.34
65000060-055,28.7
65000060-002,71.17
65000060-014,17.27
65000060-015,36.36
65000060-067,21.3
65000060-005,64.65
65000060-020,1.08
65000060-048,58.47
65000060-047,49.4
65000060-050,70.9
65000060-029,43.08
65000060-049,40.52
65000060-051,85.75
65000060-025,24.06
65000060-063,7.46
65000060-022,3.16
65000060-069,13.37
65000060-068,3.43
65000060-065,57.33
65000060-024,22.58
65000060-018,5.71
65000060-030,23.52
65000060-012,72.72
65000060-060,2.82
65000060-027,13.31
65000050-054,14.31
65000050-058,7.12
65000050-053,94.62
65000050-014,62.5
65000050-057,9.68
65000050-075,15.39
65000050-017,18.01
65000050-023,9.21
65000050-011,63.17
65000050-051,26.01
65000050-020,5.58
65000050-052,58.4
65000050-043,92
65000050-028,49.66
65000050-061,23.79
65000050-030,59.88
65000050-084,12.84
65000050-044,33.47
65000050-041,12.57
65000050-083,13.98
65000050-038,5.17
65000050-004,70.03
65000050-060,84.14
65000050-012,29.37
65000050-036,66.87
65000050-027,39.92
65000050-046,38.24
65000050-033,68.08
65000050-055,33.2
65000050-003,68.68
65000050-024,70.77
65000050-078,51.68
65000050-047,15.99
65000050-070,33.87
65000050-056,58.33
65000050-069,76.28
65000050-009,31.65
65000050-007,76.14
65000050-025,53.02
65000050-039,52.76
65000050-008,92.61
65000050-071,27.49
65000050-019,82.93
65000050-022,98.99
65000050-065,88.51
65000050-010,81.72
65000050-073,53.9
65000050-064,91.2
65000050-063,66.06
65000050-074,19.42
65000050-016,82.12
65000050-081,37.3
65000050-032,7.73
65000050-082,4.37
65000050-035,8.8
65000050-077,90.86
65000050-001,12.1
65000050-040,96.84
65000050-018,38.58
65000050-080,6.32
65000050-005,90.39
65000050-068,95.36
65000050-072,54.44
65000050-026,99.19
65000050-034,44.15
65000050-062,45.9
65000050-076,75.47
65000050-029,91.94
65000050-037,50.07
65000050-059,55.31
65000050-031,67.47
65000050-049,15.19
65000050-042,15.05
65000050-045,29.77
65000050-013,95.3
65000050-066,48.05
65000050-021,45.97
65000050-015,44.56
65000050-006,19.62
65000050-048,40.46
65000050-002,80.11
65000050-067,57.93
65000050-079,38.84
65000050-050,52.62
65000010-092,37.57
65000010-010,95.03
65000010-058,28.43
65000010-123,52.42
65000010-081,64.78
65000010-034,2.96
65000010-026,70.09
65000010-088,25.27
65000010-091,25.74
65000010-060,18.15
65000010-053,58.53
65000010-114,6.52
65000010-013,27.42
65000010-021,0.47
65000010-036,24.13
65000010-082,72.51
65000010-014,43.82
65000010-073,36.22
65000010-054,1.41
65000010-061,3.02
65000010-112,54.84
65000010-094,10.42
65000010-125,3.7
65000010-079,15.46
65000010-033,69.89
65000010-107,24.33
65000010-120,13.1
65000010-098,2.15
65000010-045,4.17
65000010-023,11.83
65000010-078,28.76
65000010-064,23.45
65000010-083,58.74
65000010-019,49.19
65000010-110,75.74
65000010-093,22.18
65000010-037,27.22
65000010-044,70.23
65000010-024,77.49
65000010-048,2.76
65000010-113,14.78
65000010-052,39.05
65000010-051,0.6
65000010-005,88.17
65000010-104,74.93
65000010-103,58.94
65000010-046,9.74
65000010-119,1.01
65000010-027,87.77
65000010-022,94.42
65000010-105,57.12
65000010-102,8.2
65000010-035,84.21
65000010-007,59.61
65000010-039,74.46
65000010-075,64.31
65000010-117,10.62
65000010-068,23.92
65000010-122,32.59
65000010-118,21.44
65000010-040,31.45
65000010-041,87.84
65000010-126,25.2
65000010-108,29.97
65000010-115,79.03
65000010-072,11.56
65000010-018,59.01
65000010-109,37.5
65000010-062,4.7
65000010-029,75.54
65000010-002,73.86
65000010-089,27.89
65000010-057,9.27
65000010-065,84.34
65000010-050,31.18
65000010-015,24.6
65000010-017,5.85
65000010-006,50.67
65000010-100,5.11
65000010-099,17.67
65000010-124,43.28
65000010-031,78.23
65000010-038,46.44
65000010-020,94.35
65000010-059,58.6
65000010-001,32.86
65000010-025,66.2
65000010-008,20.56
65000010-070,98.52
65000010-056,15.59
65000010-095,51.55
65000010-074,53.83
65000010-076,68.35
65000010-071,18.48
65000010-049,26.68
65000010-030,55.17
65000010-096,5.04
65000010-032,60.55
65000010-011,20.43
65000010-012,5.31
65000010-121,85.82
65000010-106,73.12
65000010-090,8.4
65000010-086,46.98
65000010-087,70.83
65000010-028,84.48
65000010-111,66.73
65000010-043,71.98
65000010-084,28.97
65000010-085,44.02
65000010-067,70.97
65000010-003,63.71
65000010-077,79.97
65000010-080,38.44
65000010-016,9.48
65000010-055,34.61
65000010-069,57.59
65000010-116,86.16
65000010-063,1.14
65000010-047,1.21
65000010-066,67.94
65000010-009,36.49
65000010-101,22.51
65000010-004,89.18
65000010-097,11.9
65000010-042,7.59
65000170-011,22.11
65000170-005,43.68
65000170-015,66.26
65000170-008,98.45
65000170-012,20.36
65000170-014,34.88
65000170-009,46.64
65000170-001,32.12
65000170-002,34.54
65000170-006,22.45
65000170-007,67.61
65000170-013,21.98
65000170-004,49.6
65000170-003,33.27
65000170-010,17.47
65000170-017,57.8
65000170-016,85.62
65000070-007,0.54
65000070-001,29.17
65000070-002,13.58
65000070-003,2.69
65000070-042,79.37
65000070-036,9.81
65000070-038,25.81
65000070-005,19.29
65000070-031,57.39
65000070-025,65.52
65000070-024,55.91
65000070-015,52.15
65000070-004,63.37
65000070-040,77.89
65000070-041,52.28
65000070-028,71.64
65000070-012,52.89
65000070-014,60.62
65000070-039,58.13
65000070-035,30.85
65000070-016,68.41
65000070-017,45.77
65000070-033,61.29
65000070-034,44.42
65000070-022,66.4
65000070-018,37.84
65000070-020,35.42
65000070-019,40.66
65000070-026,72.11
65000070-021,26.61
65000070-011,41.73
65000070-027,19.89
65000070-010,16.94
65000070-008,5.38
65000070-013,71.51
65000070-030,28.36
65000070-029,40.99
65000070-009,19.02
65000070-006,40.12
65000070-037,24.26
65000070-023,31.92
65000070-032,70.63
65000040-051,47.31
65000040-022,45.83
65000040-046,33
65000040-014,51.01
65000040-018,44.76
65000040-005,63.64
65000040-013,39.58
65000040-033,32.19
65000040-062,41.26
65000040-057,65.59
65000040-036,53.56
65000040-004,42.27
65000040-043,46.71
65000040-019,51.41
65000040-027,21.91
65000040-044,36.42
65000040-042,19.69
65000040-032,26.41
65000040-025,76.81
65000040-056,24.19
65000040-058,68.15
65000040-039,39.72
65000040-037,47.38
65000040-010,26.88
65000040-002,38.98
65000040-045,0.87
65000040-041,27.76
65000040-040,52.55
65000040-055,41.47
65000040-053,46.24
65000040-059,15.93
65000040-016,51.48
65000040-034,6.72
65000040-035,17.81
65000040-017,59.48
65000040-008,36.56
65000040-049,26.28
65000040-026,74.73
65000040-011,34.48
65000040-015,41.87
65000040-009,40.86
65000040-061,45.63
65000040-007,44.49
65000040-054,61.83
65000040-006,42.14
65000040-028,30.04
65000040-048,49.06
65000040-030,63.04
65000040-031,31.99
65000040-038,43.21
65000040-001,17.34
65000040-060,32.8
65000040-047,40.26
65000040-050,18.82
65000040-021,38.78
65000040-020,24.66
65000040-012,42.41
65000040-023,18.08
65000040-052,54.91
65000040-003,16.8
65000040-024,74.66
65000040-029,42.67
65000110-026,33.13
65000110-028,45.3
65000110-011,27.28
65000110-050,22.65
65000110-012,16.4
65000110-004,62.16
65000110-017,14.45
65000110-020,48.45
65000110-019,49.53
65000110-029,54.23
