V_ID,QoL_PR
63000080-014,95.23
63000080-018,61.96
63000080-015,59.07
63000080-016,83.67
63000080-020,71.24
63000080-022,96.64
63000080-017,59.95
63000080-021,95.5
63000080-019,54.5
63000080-013,89.72
63000080-042,45.23
63000080-024,71.77
63000080-011,89.38
63000080-010,96.17
63000080-007,96.1
63000080-012,88.58
63000080-008,73.52
63000080-039,91.87
63000080-035,96.91
63000080-033,91.53
63000080-009,84.88
63000080-023,78.02
63000080-029,21.03
63000010-004,54.64
63000010-027,86.02
63000010-026,99.66
63000010-015,99.26
63000010-009,65.79
63000010-029,84.95
63000010-022,74.53
63000010-019,56.52
63000010-008,54.03
63000010-006,37.43
63000010-033,88.78
63000010-032,83.6
63000010-031,84.01
63000010-025,65.86
63000010-018,90.12
63000010-030,93.62
63000010-007,59.34
63000010-005,12.63
63000010-024,67.27
63000010-011,73.25
63000010-014,88.31
63000010-013,52.22
63000010-003,70.7
63000010-035,95.7
63000010-016,95.63
63000010-017,80.17
63000010-034,94.29
63000010-010,93.75
63000010-028,97.11
63000010-021,61.09
63000010-002,78.83
63000010-020,68.48
63000010-012,85.55
63000070-009,75.94
63000070-027,38.91
63000070-026,28.83
63000070-035,11.49
63000070-016,37.97
63000070-024,33.33
63000070-030,23.72
63000070-023,64.99
63000070-007,63.1
63000070-010,39.65
63000070-022,19.83
63000070-034,14.99
63000070-014,20.63
63000070-021,3.83
63000070-013,24.53
63000070-004,67
63000070-020,36.9
63000070-033,28.29
63000070-019,71.3
63000070-029,36.16
63000070-001,98.05
63000070-008,74.6
63000070-015,0.27
63000070-017,12.9
63000070-031,48.12
63000070-005,46.3
63000070-032,31.52
63000070-018,39.45
63000070-002,93.35
63000070-003,80.24
63000070-028,43.62
63000070-025,48.99
63000070-012,70.5
63000070-006,67.74
63000070-011,47.04
63000070-036,77.35
