,鄉鎮市區代碼,含車位_各建物型態整體中位數房價,不含車位_各建物型態整體中位數房價
210,63000010,28000000.0,17300000.0
211,63000020,27735000.0,15840000.0
212,63000030,46040000.0,21500000.0
213,63000040,24180000.0,12000000.0
214,63000050,34250000.0,15610000.0
215,63000060,25800000.0,11500000.0
216,63000070,27150000.0,9400000.0
217,63000080,21500000.0,12265000.0
218,63000090,26590000.0,15535000.0
219,63000100,32325000.0,15200000.0
220,63000110,26800000.0,15125000.0
221,63000120,17765000.0,12680000.0
260,65000010,17500000.0,9500000.0
261,65000020,16500000.0,9300000.0
262,65000030,16200000.0,9855000.0
263,65000040,19400000.0,11000000.0
264,65000050,13600000.0,9500000.0
265,65000060,14900000.0,10600000.0
266,65000070,12200000.0,7890000.0
267,65000080,8000000.0,6500000.0
268,65000090,11500000.0,6090000.0
269,65000100,9420000.0,6600000.0
270,65000110,11450000.0,9500000.0
271,65000120,5880000.0,2225000.0
272,65000130,13300000.0,9450000.0
273,65000140,16000000.0,10060000.0
274,65000150,9400000.0,8600000.0
275,65000160,11625000.0,8040000.0
276,65000170,13000000.0,10750000.0
277,65000180,12300000.0,7550000.0
278,65000190,7350000.0,8200000.0
279,65000200,4494000.0,1380000.0
280,65000210,3800000.0,1975000.0
281,65000220,4494000.0,2200000.0
282,65000230,8000000.0,6000000.0
283,65000240,4494000.0,1000000.0
284,65000250,4494000.0,1418465.0
285,65000260,2590000.0,1500000.0
286,65000270,6000000.0,3600000.0
287,65000280,4200000.0,1625000.0
288,65000290,4494000.0,5000000.0
