VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,COUNTYCODE,TOWNCODE,105green,105water,108green,109green,110green,107green,106green,m109300,m109300s,m109500,m109500s,m108300,m108300s,m108500,m108500s,m107300,m107300s,m107500,m107500s,m106300,m106300s,m106500,m106500s,m105300,m105300s,m105500,m105500s,fire,police,primary,secondary,gym,area
"63000040036",臺北市,中山區,朱園里,"63000","63000040","0","0","0","0","0","0","0","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1","1","1","1",,"276740"
"63000040032",臺北市,中山區,興亞里,"63000","63000040","0","0","0","0","0","0","0","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1","1","1","1",,"247716"
"63000040002",臺北市,中山區,正義里,"63000","63000040","0","0","0","0","0","0","0",,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,"1","1","1","1","1","133910"
"63000040003",臺北市,中山區,正得里,"63000","63000040","0","0","1","1","1","1","0","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1","1","1","1","1","146232"
"63000010018",臺北市,松山區,慈祐里,"63000","63000010","1","1","1","1","0","1","1","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1","1","1","291971"
"63000090006",臺北市,南港區,新光里,"63000","63000090","1","0","1","1","1","1","1","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1","1",,"1493381"
"63000060004",臺北市,大同區,建泰里,"63000","63000060","0","0","0","0","1","0","0","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1","1","1","1","1","124500"
"63000010014",臺北市,松山區,東勢里,"63000","63000010","0","0","0","0","0","0","0","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1","1","1","90284"
"63000060001",臺北市,大同區,玉泉里,"63000","63000060","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","327650"
"63000060003",臺北市,大同區,建功里,"63000","63000060","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",,"122633"
