,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,人口數,性比例,人口密度,扶養比,扶幼比,扶老比,老化指數,0-14歲人口數,15-64歲人口數,65歲以上人口數,15歲以上博士人口數,15歲以上碩士人口數,15歲以上大學院校人口數,15歲以上專科人口數,15歲以上高中職人口數,15歲以上國中初職人口數,15歲以上小學人口數,15歲以上自修人口數,15歲以上不識字人口數,15歲以上未婚人口數,15歲以上有偶(不同性別)人口數,15歲以上有偶(相同性別)人口數,15歲以上離婚(不同性別)人口數,15歲以上離婚(相同性別)人口數,自然增加人數,社會增加人數,總戶數,綜合所得總額,綜合所得平均數,綜合所得中位數,綜合所得第一分位數,綜合所得第三分位數,各類所得金額合計(108年起),各類所得金額薪資所得(108年起),110green,fire,police,primary,secondary,gym,area,名稱,multiHospital,1
新北市三重區長生里,新北市,65000020,三重區,65000020-058,長生里,907,96.32,55552.15,38.26,11.13,27.13,243.84,73,656,178,4,44,233,86,253,115,95,1,3,329,340,1,97,0,-2,4,395.0,-,-,-,-,-,-,-,0.0,0.0,1.0,0.0,1.0,0.0,16329.0,1.0,0.0,0.0
新北市三重區長福里,新北市,65000020,三重區,65000020-064,長福里,1596,91.14,47927.93,35.14,9.91,25.23,254.7,117,1181,298,6,86,348,160,440,252,164,3,16,571,633,0,152,0,2,-1,669.0,-,-,-,-,-,-,-,0.0,0.0,1.0,0.0,1.0,0.0,33305.0,1.0,0.0,0.0
新北市三重區開元里,新北市,65000020,三重區,65000020-059,開元里,1593,101.14,33148.14,39.01,12.13,26.88,221.58,139,1146,308,3,106,391,170,398,212,156,4,14,547,651,2,148,0,1,28,752.0,-,-,-,-,-,-,-,1.0,1.0,1.0,0.0,1.0,0.0,48063.0,1.0,0.0,0.0
新北市三重區雙園里,新北市,65000020,三重區,65000020-053,雙園里,965,94.16,35136.91,39.05,13.54,25.5,188.3,94,694,177,2,40,219,103,279,124,95,2,6,331,373,0,100,0,1,9,413.0,-,-,-,-,-,-,-,0.0,0.0,1.0,0.0,1.0,0.0,27468.0,1.0,2.0,1.0
新北市三重區頂崁里,新北市,65000020,三重區,65000020-003,頂崁里,2717,101.26,3826.28,34.84,16.28,18.56,114.02,328,2015,374,4,140,743,259,671,356,203,2,10,810,1261,1,196,0,2,6,1122.0,-,-,-,-,-,-,-,1.0,1.0,1.0,0.0,0.0,0.0,710192.0,1.0,0.0,0.0
新北市三重區順德里,新北市,65000020,三重區,65000020-079,順德里,2286,103.93,38148.32,40.16,13.06,27.1,207.51,213,1631,442,7,65,468,198,598,444,258,6,25,744,942,0,208,0,1,-3,896.0,-,-,-,-,-,-,-,1.0,0.0,1.0,0.0,1.0,0.0,59932.0,1.0,0.0,0.0
新北市三重區龍濱里,新北市,65000020,三重區,65000020-068,龍濱里,3372,95.82,49242.81,35.1,13.1,22.0,167.89,327,2496,549,12,141,825,314,883,535,293,8,33,1148,1349,8,333,1,-5,13,1306.0,-,-,-,-,-,-,-,0.0,0.0,1.0,0.0,1.0,0.0,68486.0,1.0,0.0,0.0
新北市三重區龍門里,新北市,65000020,三重區,65000020-069,龍門里,1905,97.0,48263.28,35.97,12.21,23.77,194.74,171,1401,333,7,86,488,180,511,266,184,5,12,669,753,2,190,0,-4,3,800.0,-,-,-,-,-,-,-,0.0,0.0,1.0,0.0,1.0,0.0,39477.0,1.0,0.0,0.0
新北市中和區中原里,新北市,65000030,中和區,65000030-001,中原里,8209,94.94,5770.59,33.94,16.84,17.1,101.55,1032,6129,1048,72,808,2530,959,1789,569,415,3,22,2321,3936,7,615,0,6,198,3842.0,-,-,-,-,-,-,-,1.0,0.0,1.0,1.0,0.0,0.0,1422757.0,1.0,0.0,1.0
新北市中和區中安里,新北市,65000030,中和區,65000030-023,中安里,4296,85.65,56021.39,44.5,11.1,33.4,300.91,330,2973,993,57,550,1570,555,796,239,192,2,10,1367,2013,2,311,0,-5,-20,2087.0,-,-,-,-,-,-,-,1.0,0.0,1.0,1.0,1.0,0.0,76696.0,1.0,2.0,1.0
新北市中和區中山里,新北市,65000030,中和區,65000030-083,中山里,2799,91.71,69658.06,45.03,17.05,27.98,164.13,329,1930,540,11,150,683,332,781,292,200,1,15,859,1215,0,223,0,0,12,1091.0,-,-,-,-,-,-,-,0.0,0.0,1.0,1.0,1.0,1.0,40187.0,1.0,0.0,0.0
新北市中和區中正里,新北市,65000030,中和區,65000030-005,中正里,3963,93.41,59336.12,42.66,14.83,27.83,187.62,412,2778,773,12,158,927,461,1097,520,338,4,27,1260,1660,2,370,0,-2,-2,1551.0,-,-,-,-,-,-,-,0.0,0.0,1.0,1.0,1.0,1.0,66799.0,1.0,0.0,0.0
新北市中和區中興里,新北市,65000030,中和區,65000030-081,中興里,6966,92.11,22235.56,38.19,18.85,19.34,102.63,950,5041,975,49,643,2175,813,1492,459,345,5,19,2099,3130,1,485,1,0,-68,2811.0,-,-,-,-,-,-,-,1.0,0.0,1.0,0.0,0.0,0.0,313325.0,1.0,0.0,1.0
新北市中和區仁和里,新北市,65000030,中和區,65000030-004,仁和里,3961,97.95,40899.99,42.74,15.35,27.39,178.4,426,2775,760,7,197,963,400,1095,503,342,2,25,1244,1721,1,327,0,2,-43,1452.0,-,-,-,-,-,-,-,1.0,0.0,1.0,1.0,1.0,1.0,96859.0,1.0,0.0,0.0
新北市中和區佳和里,新北市,65000030,中和區,65000030-019,佳和里,4945,89.54,43307.67,42.63,13.41,29.22,217.85,465,3467,1013,26,346,1444,598,1276,418,324,10,30,1567,2155,8,432,0,-8,-32,2188.0,-,-,-,-,-,-,-,1.0,0.0,1.0,1.0,1.0,0.0,114198.0,1.0,0.0,0.0
新北市中和區信和里,新北市,65000030,中和區,65000030-003,信和里,4318,97.71,59456.11,42.37,15.2,27.17,178.74,461,3033,824,11,183,1030,472,1140,560,392,5,48,1363,1821,0,392,1,-1,-28,1642.0,-,-,-,-,-,-,-,0.0,0.0,1.0,1.0,1.0,1.0,72635.0,0.0,0.0,0.0
新北市中和區內南里,新北市,65000030,中和區,65000030-042,內南里,4999,100.36,3862.83,39.68,13.75,25.93,188.62,492,3579,928,18,234,1242,535,1516,546,384,5,19,1643,2130,5,441,0,-2,-49,1840.0,-,-,-,-,-,-,-,1.0,0.0,0.0,0.0,1.0,0.0,1294306.0,1.0,0.0,0.0
新北市中和區冠穗里,新北市,65000030,中和區,65000030-090,冠穗里,3273,98.6,57517.92,39.93,12.23,27.7,226.57,286,2339,648,15,240,918,385,832,359,220,5,9,1055,1529,1,236,0,4,-34,1276.0,-,-,-,-,-,-,-,0.0,1.0,1.0,0.0,1.0,0.0,56912.0,0.0,0.0,0.0
新北市中和區力行里,新北市,65000030,中和區,65000030-009,力行里,6134,91.81,55663.44,36.65,14.61,22.03,150.76,656,4489,989,35,509,1795,793,1460,487,362,4,26,1962,2734,4,469,1,0,-41,2450.0,-,-,-,-,-,-,-,1.0,0.0,1.0,1.0,1.0,0.0,110213.0,1.0,0.0,0.0
新北市中和區南山里,新北市,65000030,中和區,65000030-026,南山里,5158,93.55,64890.3,39.22,13.23,25.99,196.53,490,3705,963,42,522,1572,635,1180,340,341,7,16,1627,2390,2,354,0,-4,-42,2199.0,-,-,-,-,-,-,-,0.0,0.0,1.0,1.0,1.0,0.0,79498.0,1.0,0.0,0.0
