,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,人口數,性比例,人口密度,扶養比,扶幼比,扶老比,老化指數,0-14歲人口數,15-64歲人口數,65歲以上人口數,15歲以上博士人口數,15歲以上碩士人口數,15歲以上大學院校人口數,15歲以上專科人口數,15歲以上高中職人口數,15歲以上國中初職人口數,15歲以上小學人口數,15歲以上自修人口數,15歲以上不識字人口數,15歲以上未婚人口數,15歲以上有偶人口數,15歲以上離婚人口數,自然增加人數,社會增加人數,總戶數,綜合所得總額,綜合所得平均數,綜合所得中位數,綜合所得第一分位數,綜合所得第三分位數,綜合所得標準差,各類所得金額合計,各類所得金額薪資所得,106green,m106300,m106300s,m106500,m106500s,fire,police,primary,secondary,gym,area,名稱,multiHospital,1
新北市三重區慈惠里,新北市,65000020,三重區,65000020-100,慈惠里,2261,99.21,66169.15,34.58,14.35,20.24,141.08,241,1680,340,5,81,421,197,571,438,276,5,26,1006,949,175,5,-10,840,594273.0,689.0,526.0,336.0,866.0,720.92,409883.0,359806.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,32654.0,0.0,0.0,0.0
新北市三重區慈愛里,新北市,65000020,三重區,65000020-101,慈愛里,3638,96.12,61533.78,32.15,13.29,18.85,141.8,366,2753,519,6,98,701,335,959,671,459,10,33,1579,1546,304,5,-74,1374,1181963.0,736.0,568.0,366.0,943.0,590.4,612861.0,530125.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,57691.0,0.0,0.0,0.0
新北市三重區慈生里,新北市,65000020,三重區,65000020-099,慈生里,2385,95.97,51117.73,35.43,12.15,23.28,191.59,214,1761,410,2,69,482,219,627,389,339,10,34,1018,1026,195,-2,-35,891,945006.0,703.0,531.0,346.0,883.0,580.6,404749.0,333171.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,58565.0,0.0,0.0,0.0
新北市三重區慈祐里,新北市,65000020,三重區,65000020-103,慈祐里,4975,99.96,50810.93,33.27,16.34,16.93,103.61,610,3733,632,7,202,1021,503,1221,799,561,12,39,2279,2102,357,26,-61,1791,1871843.0,887.0,599.0,364.0,1092.0,1002.77,1042392.0,837783.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,92385.0,0.0,0.0,0.0
新北市三重區慈福里,新北市,65000020,三重區,65000020-098,慈福里,2315,104.32,65092.08,34.36,12.13,22.23,183.25,209,1723,383,4,76,437,174,634,447,300,15,19,1027,896,227,-4,-16,955,756858.0,752.0,571.0,353.0,923.0,748.59,381976.0,321264.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,26938.0,0.0,0.0,0.0
新北市三重區成功里,新北市,65000020,三重區,65000020-007,成功里,6580,90.95,3419.64,33.01,19.22,13.79,71.71,951,4947,682,19,420,1662,791,1694,556,450,9,28,2999,2792,523,22,8,2769,1267995.0,882.0,612.0,360.0,1033.0,1107.3,2052709.0,1679825.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,234973.0,1.0,0.0,0.0
新北市三重區承德里,新北市,65000020,三重區,65000020-080,承德里,1928,102.73,12920.69,38.9,14.99,23.92,159.62,208,1388,332,7,64,370,179,495,319,244,13,29,814,841,150,1,-49,658,721315.0,713.0,549.0,358.0,900.0,548.18,365375.0,298453.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,56315.0,1.0,0.0,0.0
新北市三重區文化里,新北市,65000020,三重區,65000020-051,文化里,2481,97.22,35897.73,44.66,17.32,27.35,157.91,297,1715,469,4,135,526,266,621,302,313,4,13,1075,1036,206,0,-12,968,305494.0,766.0,579.0,363.0,856.0,788.37,562323.0,413874.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,68088.0,1.0,2.0,0.0
新北市三重區正安里,新北市,65000020,三重區,65000020-049,正安里,2052,94.32,54725.84,35.0,13.55,21.45,158.25,206,1520,326,7,83,448,212,570,281,225,4,16,883,861,177,-2,-26,853,334328.0,721.0,536.0,334.0,921.0,637.15,457910.0,348237.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34593.0,1.0,2.0,0.0
新北市三重區正德里,新北市,65000020,三重區,65000020-047,正德里,1208,93.9,50136.96,40.14,16.13,24.01,148.92,139,862,207,3,47,239,120,323,178,150,2,7,552,463,114,0,-8,507,797850.0,828.0,595.0,372.0,990.0,984.61,212206.0,171786.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,30250.0,1.0,2.0,0.0
新北市三重區正義里,新北市,65000020,三重區,65000020-048,正義里,1924,100.42,29405.47,36.07,15.42,20.65,133.94,218,1414,292,6,87,456,213,481,236,214,1,12,894,803,147,-1,-37,767,230413.0,773.0,537.0,324.0,920.0,753.1,486019.0,343337.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,62801.0,1.0,2.0,1.0
新北市三重區民生里,新北市,65000020,三重區,65000020-045,民生里,4533,96.4,57961.56,35.84,16.96,18.88,111.31,566,3337,630,6,150,932,457,1187,674,534,8,19,2065,1792,415,-4,-35,1744,624034.0,775.0,555.0,349.0,970.0,738.01,820210.0,686454.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,78492.0,1.0,2.0,0.0
