,鄉鎮市區代碼,含車位_各建物型態整體中位數房價,不含車位_各建物型態整體中位數房價
0,65000010,17000000.0,11500000.0
1,65000020,17130000.0,10100000.0
2,65000030,18150000.0,11800000.0
3,65000040,21000000.0,12600000.0
4,65000050,15260000.0,11365000.0
5,65000060,16800000.0,11940000.0
6,65000070,14000000.0,8400000.0
7,65000080,9465000.0,7295000.0
8,65000090,12725000.0,7030000.0
9,65000100,9850000.0,7250000.0
10,65000110,12650000.0,10000000.0
11,65000120,6600000.0,2550000.0
12,65000130,15000000.0,11050000.0
13,65000140,16725000.0,10535000.0
14,65000150,10600000.0,9560000.0
15,65000160,12105000.0,8620000.0
16,65000170,13900000.0,14700000.0
17,65000180,12500000.0,6655000.0
18,65000190,8750000.0,2170960.0
19,65000200,5610666.6,4500000.0
20,65000210,3513333.0,2500000.0
21,65000220,5610666.6,1575000.0
22,65000230,8600000.0,6800000.0
23,65000240,5610666.6,1743847.6
24,65000250,7080000.0,3500000.0
25,65000260,5610666.6,948278.0
26,65000270,7325000.0,4500000.0
27,65000280,3535000.0,1525000.0
28,65000290,5610666.6,1743847.6
29,63000010,30920000.0,20750000.0
30,63000020,31715000.0,18590000.0
31,63000030,41000000.0,25500000.0
32,63000040,28365000.0,14500000.0
33,63000050,33650000.0,19000000.0
34,63000060,26190000.0,12000000.0
35,63000070,24180000.0,10000000.0
36,63000080,24500000.0,13800000.0
37,63000090,26800000.0,16955000.0
38,63000100,27280000.0,16800000.0
39,63000110,29900000.0,16425000.0
40,63000120,22440000.0,13200000.0
