,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,人口數,性比例,人口密度,扶養比,扶幼比,扶老比,老化指數,0-14歲人口數,15-64歲人口數,65歲以上人口數,15歲以上博士人口數,15歲以上碩士人口數,15歲以上大學院校人口數,15歲以上專科人口數,15歲以上高中職人口數,15歲以上國中初職人口數,15歲以上小學人口數,15歲以上自修人口數,15歲以上不識字人口數,15歲以上未婚人口數,15歲以上有偶人口數,15歲以上離婚人口數,自然增加人數,社會增加人數,總戶數,綜合所得總額,綜合所得平均數,綜合所得中位數,綜合所得第一分位數,綜合所得第三分位數,綜合所得標準差,各類所得金額合計,各類所得金額薪資所得,107green,m107300,m107300s,m107500,m107500s,fire,police,primary,secondary,gym,area,名稱,multiHospital,1
新北市三峽區三峽里,新北市,65000090,三峽區,65000090-001,三峽里,322,138.52,10043.67,49.77,16.74,33.02,197.22,36,215,71,0,16,61,48,95,35,28,1,2,122,140,37,0,6,125,53663.0,725.0,526.0,364.0,931.0,567.65,53663.0,39252.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,38370.0,1.0,2.0,0.0
新北市三峽區中埔里,新北市,65000090,三峽區,65000090-004,中埔里,3317,97.68,4570.29,30.54,20.27,10.27,50.68,515,2541,261,11,114,674,293,996,477,226,2,9,1545,1350,298,12,47,1221,663633.0,773.0,592.0,361.0,995.0,607.67,663633.0,583374.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1387444.0,1.0,2.0,1.0
新北市三峽區中正里,新北市,65000090,三峽區,65000090-025,中正里,5518,100.44,5550.64,29.35,16.78,12.56,74.86,716,4266,536,11,141,1110,447,1626,934,474,8,51,2538,2208,515,23,-73,1773,951104.0,717.0,556.0,361.0,904.0,587.72,951104.0,838810.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1477467.0,1.0,0.0,1.0
新北市三峽區二鬮里,新北市,65000090,三峽區,65000090-026,二鬮里,3749,102.32,1866.7,27.39,14.54,12.84,88.32,428,2943,378,8,132,782,349,1175,587,263,4,21,1667,1522,372,14,-12,1358,692729.0,735.0,545.0,349.0,902.0,797.09,692740.0,598094.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6382624.0,0.0,0.0,0.0
新北市三峽區五寮里,新北市,65000090,三峽區,65000090-014,五寮里,950,116.89,67.4,44.82,11.74,33.08,281.82,77,656,217,1,9,119,35,309,201,160,3,36,343,429,83,-11,-13,374,90489.0,603.0,462.0,306.0,680.0,608.31,90489.0,74684.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13730198.0,0.0,0.0,1.0
新北市三峽區介壽里,新北市,65000090,三峽區,65000090-023,介壽里,7091,103.94,1997.6,26.13,15.55,10.58,68.08,874,5622,595,18,178,1467,596,2237,1181,503,7,30,3258,2736,817,13,39,2642,1092806.0,662.0,541.0,346.0,853.0,482.75,1106939.0,937979.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2511198.0,1.0,0.0,1.0
新北市三峽區八張里,新北市,65000090,三峽區,65000090-003,八張里,4255,99.2,12204.22,33.76,19.74,14.02,71.02,628,3181,446,6,140,855,380,1273,621,317,14,21,1956,1747,351,5,-8,1517,793478.0,744.0,589.0,369.0,914.0,633.17,793478.0,692752.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,120010.0,1.0,2.0,0.0
新北市三峽區嘉添里,新北市,65000090,三峽區,65000090-011,嘉添里,2493,133.21,382.58,47.95,12.88,35.07,272.35,217,1685,591,4,68,411,199,719,474,352,12,37,1062,1028,267,-59,-15,794,404523.0,763.0,551.0,351.0,918.0,917.76,404775.0,302706.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6564512.0,0.0,0.0,2.0
新北市三峽區大埔里,新北市,65000090,三峽區,65000090-010,大埔里,4285,112.66,587.3,32.05,15.16,16.89,111.38,492,3245,548,28,136,789,364,1260,720,440,12,44,1824,1830,376,5,-37,1449,843452.0,783.0,632.0,388.0,1036.0,587.91,843452.0,718478.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4280737.0,0.0,0.0,2.0
新北市三峽區安坑里,新北市,65000090,三峽區,65000090-021,安坑里,1532,125.29,80.82,42.12,13.45,28.66,213.1,145,1078,309,2,19,205,87,407,350,244,12,61,601,689,125,-3,-8,590,188752.0,667.0,570.0,340.0,841.0,506.8,188752.0,149235.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20833177.0,0.0,0.0,1.0
