,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,人口數,性比例,人口密度,扶養比,扶幼比,扶老比,老化指數,0-14歲人口數,15-64歲人口數,65歲以上人口數,15歲以上博士人口數,15歲以上碩士人口數,15歲以上大學院校人口數,15歲以上專科人口數,15歲以上高中職人口數,15歲以上國中初職人口數,15歲以上小學人口數,15歲以上自修人口數,15歲以上不識字人口數,15歲以上未婚人口數,15歲以上有偶人口數,15歲以上離婚人口數,自然增加人數,社會增加人數,總戶數,綜合所得總額,綜合所得平均數,綜合所得中位數,綜合所得第一分位數,綜合所得第三分位數,綜合所得標準差,各類所得金額合計,各類所得金額薪資所得,107green,m107300,m107300s,m107500,m107500s,fire,police,primary,secondary,gym,area,名稱,multiHospital,1
新北市三峽區安溪里,新北市,65000090,三峽區,65000090-024,安溪里,7901,97.08,23234.48,25.02,14.18,10.84,76.45,896,6320,685,18,285,1854,737,2418,1091,554,10,38,3753,3083,712,-2,-117,2801,1640474.0,795.0,588.0,368.0,984.0,1663.39,1661146.0,1438823.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,402568.0,1.0,2.0,1.0
新北市三峽區弘道里,新北市,65000090,三峽區,65000090-005,弘道里,1227,130.64,162.84,36.48,15.91,20.58,129.37,143,899,185,0,24,219,72,325,270,160,0,14,536,535,92,-4,-19,420,195711.0,725.0,573.0,383.0,863.0,672.27,195711.0,161659.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6791592.0,0.0,0.0,0.0
新北市三峽區成福里,新北市,65000090,三峽區,65000090-020,成福里,1013,119.26,375.54,33.64,12.93,20.71,160.2,98,758,157,1,19,173,81,306,186,145,0,4,432,425,75,-8,4,331,148072.0,627.0,514.0,305.0,763.0,543.66,148072.0,131356.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3516326.0,0.0,0.0,1.0
新北市三峽區插角里,新北市,65000090,三峽區,65000090-015,插角里,724,140.53,59.4,57.73,11.76,45.97,390.74,54,459,211,1,15,69,28,162,181,182,3,29,216,363,67,-14,-16,365,101828.0,842.0,600.0,351.0,991.0,835.99,101828.0,74432.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13750256.0,0.0,0.0,1.0
新北市三峽區有木里,新北市,65000090,三峽區,65000090-016,有木里,795,149.22,14.23,49.44,9.96,39.47,396.23,53,532,210,3,6,75,46,192,222,168,2,28,228,406,86,-11,-14,367,84617.0,846.0,521.0,299.0,914.0,1150.47,84617.0,51742.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53091504.0,0.0,0.0,1.0
新北市三峽區永?里,新北市,65000090,三峽區,65000090-006,永?里,7995,91.82,8840.16,35.21,18.54,16.68,89.96,1096,5913,986,33,351,1820,807,2291,976,570,5,46,3711,3182,684,4,82,2838,1750410.0,829.0,612.0,371.0,1022.0,835.22,1799034.0,1379620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
新北市三峽區添福里,新北市,65000090,三峽區,65000090-012,添福里,1190,112.88,337.13,32.37,13.35,19.02,142.5,120,899,171,1,24,169,72,349,271,163,1,20,482,511,107,-6,-26,422,201645.0,725.0,543.0,370.0,898.0,590.97,201645.0,153868.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3529420.0,0.0,0.0,0.0
新北市三峽區溪北里,新北市,65000090,三峽區,65000090-017,溪北里,2540,111.84,1523.8,38.65,16.54,22.11,133.66,303,1832,405,2,59,410,227,776,421,305,10,27,1128,998,249,-5,34,886,399934.0,697.0,553.0,370.0,835.0,576.06,399934.0,345558.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1434249.0,0.0,0.0,0.0
新北市三峽區溪南里,新北市,65000090,三峽區,65000090-018,溪南里,1630,123.9,633.01,34.71,13.88,20.83,150.0,168,1210,252,0,22,285,121,489,314,212,2,17,710,661,156,-12,-10,561,269532.0,721.0,557.0,361.0,844.0,643.51,269532.0,222379.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4428818.0,1.0,0.0,0.0
新北市三峽區溪東里,新北市,65000090,三峽區,65000090-019,溪東里,3256,107.79,1629.25,30.61,15.04,15.56,103.47,375,2493,388,6,68,593,279,967,582,341,5,40,1492,1259,311,0,10,1060,584059.0,686.0,539.0,352.0,821.0,695.36,584586.0,501813.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2320378.0,0.0,0.0,1.0
新北市三峽區礁溪里,新北市,65000090,三峽區,65000090-007,礁溪里,6047,96.14,13930.58,29.21,16.71,12.5,74.81,782,4680,585,15,193,1265,648,1814,889,419,4,18,2698,2555,536,28,-55,2246,1238391.0,783.0,595.0,378.0,996.0,714.66,1238400.0,1033440.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,508161.0,1.0,2.0,0.0
新北市三峽區秀川里,新北市,65000090,三峽區,65000090-002,秀川里,704,96.1,17128.12,45.76,19.67,26.09,132.63,95,483,126,2,25,142,72,186,95,83,1,3,310,279,64,0,10,285,127144.0,739.0,577.0,359.0,965.0,592.18,127144.0,110270.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,28440.0,1.0,2.0,0.0
新北市三峽區竹崙里,新北市,65000090,三峽區,65000090-022,竹崙里,2123,128.28,83.56,39.58,11.57,28.01,242.05,176,1521,426,4,33,294,123,588,492,358,4,51,788,956,232,-7,-8,910,255900.0,638.0,504.0,352.0,801.0,484.58,255900.0,199486.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23083137.0,0.0,0.0,1.0
新北市三峽區金圳里,新北市,65000090,三峽區,65000090-013,金圳里,564,144.16,45.91,36.56,10.17,26.39,259.52,42,413,109,0,12,67,25,166,149,82,4,17,221,245,52,-4,-5,233,63149.0,658.0,524.0,327.0,865.0,541.3,63149.0,48383.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10688732.0,0.0,0.0,0.0
新北市三峽區鳶山里,新北市,65000090,三峽區,65000090-008,鳶山里,10686,98.55,2577.63,33.68,19.25,14.42,74.92,1539,7994,1153,35,453,2281,1011,3010,1439,852,10,56,4871,4393,951,45,-36,3910,2354971.0,838.0,603.0,366.0,1011.0,940.14,2358996.0,1932340.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4859998.0,1.0,0.0,1.0
新北市三峽區龍埔里,新北市,65000090,三峽區,65000090-009,龍埔里,10129,97.02,5023.49,34.91,22.3,12.61,56.57,1674,7508,947,33,476,2189,1004,2706,1234,742,9,62,4709,4150,873,46,147,3742,2264272.0,834.0,637.0,367.0,1086.0,726.22,2265959.0,1901658.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2026379.0,1.0,2.0,2.0
新北市三峽區龍學里,新北市,65000090,三峽區,65000090-027,龍學里,16430,86.03,15097.12,49.35,34.8,14.55,41.82,3828,11001,1601,211,1644,4671,1971,2862,764,448,7,24,7453,7597,958,123,366,6918,6208842.0,1253.0,928.0,475.0,1662.0,1230.1,6249101.0,5022429.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,403954.0,1.0,0.0,1.0
新北市三峽區龍恩里,新北市,65000090,三峽區,65000090-028,龍恩里,7354,91.66,21239.11,44.37,30.62,13.74,44.87,1560,5094,700,93,631,1874,846,1547,504,282,4,13,3353,3254,538,36,413,3090,2464549.0,1165.0,823.0,444.0,1550.0,1136.5,2464637.0,2000737.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1076828.0,1.0,0.0,0.0
新北市三芝區八賢里,新北市,65000210,三芝區,65000210-001,八賢里,345,126.97,284.5,45.57,8.86,36.71,414.29,21,237,87,1,5,44,32,98,71,56,0,17,118,169,21,-4,-2,141,44275.0,547.0,432.0,306.0,702.0,378.45,44275.0,37132.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1469637.0,0.0,0.0,1.0
新北市三芝區古庄里,新北市,65000210,三芝區,65000210-003,古庄里,1185,108.99,374.57,39.74,9.67,30.07,310.98,82,848,255,2,48,222,116,365,175,146,2,27,431,503,162,2,31,557,194986.0,668.0,495.0,321.0,843.0,592.36,194986.0,157236.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2981177.0,1.0,0.0,0.0
新北市三芝區圓山里,新北市,65000210,三芝區,65000210-011,圓山里,598,136.36,33.93,38.75,11.37,27.38,240.82,49,431,118,0,12,68,36,176,130,84,7,36,205,296,48,-3,-15,212,93361.0,729.0,581.0,317.0,940.0,607.72,93361.0,67005.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17367049.0,0.0,0.0,1.0
新北市三芝區埔坪里,新北市,65000210,三芝區,65000210-005,埔坪里,7201,101.2,2031.97,33.28,14.57,18.71,128.46,787,5403,1011,11,160,1211,705,2114,1337,725,27,124,3117,2930,706,-15,-88,2903,1118502.0,644.0,497.0,324.0,799.0,583.2,1118504.0,950325.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3642273.0,1.0,0.0,3.0
新北市三芝區埔頭里,新北市,65000210,三芝區,65000210-002,埔頭里,5604,96.56,5680.63,29.66,14.18,15.48,109.14,613,4322,669,15,157,1203,522,1610,972,430,17,65,2495,2340,470,-7,-15,2207,957718.0,637.0,497.0,328.0,795.0,529.92,957732.0,830612.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1000192.0,1.0,0.0,2.0
新北市三芝區店子里,新北市,65000210,三芝區,65000210-012,店子里,656,130.18,103.26,42.3,9.11,33.19,364.29,42,461,153,2,14,92,48,193,120,118,1,26,224,313,50,-4,-16,255,98910.0,687.0,564.0,327.0,871.0,593.78,98910.0,76597.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6258128.0,1.0,2.0,0.0
新北市三芝區後厝里,新北市,65000210,三芝區,65000210-009,後厝里,2258,104.16,337.92,39.56,7.79,31.77,407.94,126,1618,514,24,131,586,276,610,250,210,6,39,803,1006,279,-17,26,1156,558779.0,832.0,509.0,312.0,912.0,1340.79,595783.0,381410.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6945025.0,0.0,0.0,0.0
新北市三芝區新庄里,新北市,65000210,三芝區,65000210-004,新庄里,910,113.11,245.52,46.3,14.31,31.99,223.6,89,622,199,0,19,146,88,244,158,118,7,41,345,405,76,-3,-53,359,118226.0,600.0,471.0,306.0,785.0,456.13,118226.0,93507.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3817769.0,1.0,0.0,0.0
新北市三芝區橫山里,新北市,65000210,三芝區,65000210-007,橫山里,544,139.65,82.51,50.69,8.03,42.66,531.03,29,361,154,1,4,67,40,141,119,85,18,40,193,244,55,-7,5,226,63580.0,649.0,563.0,353.0,837.0,478.36,63580.0,54609.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6163891.0,0.0,0.0,1.0
新北市三芝區福德里,新北市,65000210,三芝區,65000210-010,福德里,890,101.36,304.81,38.63,11.99,26.64,222.08,77,642,171,7,55,226,65,212,139,79,6,24,356,404,69,-8,-4,364,178866.0,802.0,631.0,347.0,1002.0,733.62,179615.0,138902.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3011751.0,1.0,0.0,0.0
新北市三芝區興華里,新北市,65000210,三芝區,65000210-013,興華里,1308,120.57,205.73,35.68,9.34,26.35,282.22,90,964,254,6,44,246,156,353,198,180,7,28,496,582,121,-14,-4,544,247145.0,738.0,571.0,341.0,896.0,703.37,247145.0,187690.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6376696.0,1.0,2.0,1.0
新北市三芝區茂長里,新北市,65000210,三芝區,65000210-006,茂長里,709,111.64,266.97,33.77,9.43,24.34,258.0,50,530,129,2,26,176,77,212,82,66,1,17,274,325,71,0,-4,304,116471.0,636.0,458.0,300.0,833.0,553.55,116471.0,93175.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3301764.0,1.0,0.0,0.0
新北市三芝區錫板里,新北市,65000210,三芝區,65000210-008,錫板里,770,139.13,144.36,49.51,11.46,38.06,332.2,59,515,196,1,15,119,54,187,155,132,6,42,267,392,38,0,-3,302,123779.0,680.0,523.0,296.0,780.0,659.99,123779.0,97407.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5188906.0,1.0,0.0,0.0
新北市三重區三安里,新北市,65000020,三重區,65000020-072,三安里,2752,91.91,41598.02,36.31,12.58,23.72,188.58,254,2019,479,10,134,629,280,728,379,315,4,19,1183,1133,261,-9,48,1231,584089.0,759.0,569.0,353.0,945.0,713.01,584376.0,462483.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,56155.0,1.0,2.0,0.0
新北市三重區三民里,新北市,65000020,三重區,65000020-019,三民里,3538,96.88,52338.83,38.47,19.26,19.22,99.8,492,2555,491,14,174,891,361,868,424,288,5,21,1592,1531,244,14,-56,1295,859862.0,893.0,639.0,410.0,1059.0,906.34,860438.0,682572.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,67275.0,1.0,0.0,0.0
新北市三重區中央里,新北市,65000020,三重區,65000020-052,中央里,1898,93.87,47913.56,36.65,13.75,22.89,166.49,191,1389,318,6,85,409,188,506,255,242,4,12,796,759,218,-9,-4,863,368991.0,761.0,565.0,355.0,961.0,659.42,368991.0,299001.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,39730.0,1.0,2.0,0.0
新北市三重區中山里,新北市,65000020,三重區,65000020-041,中山里,2857,95.15,19267.73,35.08,14.14,20.95,148.16,299,2115,443,12,162,772,321,678,328,266,1,18,1277,1182,244,8,0,1208,871084.0,975.0,604.0,374.0,1132.0,1173.22,874697.0,638977.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,150756.0,1.0,2.0,0.0
新北市三重區中正里,新北市,65000020,三重區,65000020-026,中正里,1438,101.12,61761.8,33.64,10.69,22.96,214.78,115,1076,247,6,70,320,139,393,201,182,1,11,619,596,122,3,30,577,308687.0,794.0,608.0,382.0,978.0,761.88,308687.0,239918.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21586.0,1.0,0.0,0.0
新北市三重區中民里,新北市,65000020,三重區,65000020-029,中民里,1311,99.85,49226.49,32.96,10.55,22.41,212.5,104,986,221,2,44,300,115,337,223,165,7,14,588,487,124,-1,-42,529,246019.0,685.0,552.0,330.0,857.0,577.37,246019.0,210705.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20140.0,1.0,2.0,0.0
新北市三重區中興里,新北市,65000020,三重區,65000020-005,中興里,4039,101.85,4348.49,32.17,12.63,19.54,154.66,386,3056,597,9,210,1024,417,1009,536,423,3,22,1783,1748,299,-2,2,1590,1157371.0,850.0,571.0,355.0,1040.0,944.4,1178652.0,812938.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,725508.0,1.0,2.0,1.0
新北市三重區二重里,新北市,65000020,三重區,65000020-002,二重里,1665,102.55,8510.44,32.35,13.75,18.6,135.26,173,1258,234,4,60,361,131,465,289,167,3,12,767,676,133,3,-22,573,285501.0,630.0,526.0,348.0,803.0,441.74,285501.0,231858.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,202679.0,0.0,0.0,2.0
新北市三重區五常里,新北市,65000020,三重區,65000020-095,五常里,4393,99.14,7135.44,33.2,16.16,17.04,105.44,533,3298,562,9,131,949,444,1150,692,431,20,34,2016,1830,311,8,-46,1476,856241.0,732.0,577.0,370.0,905.0,608.48,856241.0,717493.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,381736.0,1.0,0.0,0.0
新北市三重區五福里,新北市,65000020,三重區,65000020-096,五福里,4009,91.27,23224.42,33.01,17.29,15.73,90.98,521,3014,474,10,245,927,378,986,553,359,9,21,1724,1760,332,8,-82,1651,1089679.0,960.0,660.0,389.0,1213.0,910.45,1123030.0,918717.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,120044.0,0.0,0.0,0.0
新北市三重區五華里,新北市,65000020,三重區,65000020-104,五華里,5487,93.07,23205.85,32.6,17.45,15.15,86.84,722,4138,627,22,318,1304,568,1253,796,448,7,49,2441,2400,409,26,-31,2117,1652820.0,1059.0,666.0,409.0,1255.0,1267.76,1677071.0,1346699.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,80310.0,0.0,0.0,0.0
新北市三重區五谷里,新北市,65000020,三重區,65000020-109,五谷里,1797,106.31,2579.31,33.51,10.7,22.81,213.19,144,1346,307,6,88,406,214,498,216,201,3,21,745,811,137,-3,-4,736,488412.0,807.0,613.0,380.0,982.0,730.57,488417.0,367923.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,380469.0,1.0,0.0,1.0
新北市三重區五順里,新北市,65000020,三重區,65000020-119,五順里,4187,98.34,48495.45,31.67,14.81,16.86,113.8,471,3180,536,7,131,863,380,1133,735,413,12,42,1892,1727,337,8,6,1514,790985.0,761.0,590.0,394.0,955.0,597.96,790989.0,686805.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43750.0,0.0,0.0,0.0
新北市三重區仁德里,新北市,65000020,三重區,65000020-032,仁德里,2093,102.22,43255.42,38.15,11.42,26.73,234.1,173,1515,405,1,90,419,176,574,347,300,0,13,888,827,256,-6,48,901,393983.0,748.0,552.0,330.0,926.0,770.13,393983.0,322527.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,51894.0,1.0,2.0,0.0
新北市三重區仁忠里,新北市,65000020,三重區,65000020-097,仁忠里,3337,99.11,60998.79,36.32,16.79,19.53,116.3,411,2448,478,7,102,566,314,870,650,386,8,23,1520,1322,310,2,3,1275,532947.0,687.0,559.0,360.0,912.0,496.33,532975.0,464283.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60642.0,0.0,0.0,0.0
新北市三重區仁義里,新北市,65000020,三重區,65000020-034,仁義里,1289,99.23,31051.26,34.55,13.99,20.56,147.01,134,958,197,1,49,268,130,378,175,138,1,15,594,483,131,-7,-27,502,264260.0,794.0,567.0,359.0,917.0,849.88,264260.0,219490.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,49832.0,1.0,2.0,0.0
新北市三重區仁華里,新北市,65000020,三重區,65000020-118,仁華里,4336,94.88,40617.89,32.8,15.74,17.06,108.37,514,3265,557,11,209,990,439,1091,632,405,14,31,1899,1930,304,11,-77,1692,1028748.0,832.0,611.0,365.0,1091.0,726.19,1028748.0,841418.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,98115.0,0.0,0.0,0.0
新北市三重區介壽里,新北市,65000020,三重區,65000020-065,介壽里,1239,95.73,52455.55,39.84,15.8,24.04,152.14,140,886,213,6,44,281,115,328,177,140,1,7,553,497,118,-2,-5,514,256593.0,752.0,573.0,363.0,868.0,669.9,256593.0,198373.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,34152.0,1.0,0.0,0.0
新北市三重區信安里,新北市,65000020,三重區,65000020-074,信安里,2055,93.69,54458.73,35.29,15.73,19.55,124.27,239,1519,297,5,118,484,229,502,262,199,2,15,907,845,187,6,-11,879,550856.0,876.0,639.0,383.0,1097.0,807.99,550874.0,464127.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,41524.0,1.0,2.0,0.0
新北市三重區光明里,新北市,65000020,三重區,65000020-020,光明里,7875,94.16,29408.36,34.34,18.53,15.81,85.36,1086,5862,927,42,469,1986,837,2006,860,544,7,38,3637,3263,631,16,-33,3044,2255753.0,979.0,646.0,383.0,1183.0,1116.98,2263330.0,1748641.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,253600.0,1.0,0.0,2.0
新北市三重區光榮里,新北市,65000020,三重區,65000020-035,光榮里,1481,94.61,50974.05,33.42,10.54,22.88,217.09,117,1110,254,3,69,386,139,392,226,133,1,15,657,577,155,3,4,656,401473.0,875.0,622.0,371.0,1078.0,891.63,408208.0,307642.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,34169.0,1.0,2.0,0.0
新北市三重區光正里,新北市,65000020,三重區,65000020-021,光正里,2576,95.0,11992.66,26.71,10.67,16.04,150.23,217,2033,326,23,223,743,318,610,235,186,4,17,1103,1126,248,2,-31,1292,1063541.0,1188.0,728.0,397.0,1542.0,1321.63,1065415.0,831862.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,73496.0,1.0,0.0,0.0
新北市三重區光田里,新北市,65000020,三重區,65000020-013,光田里,4534,94.93,54361.25,35.1,11.8,23.3,197.47,396,3356,782,27,254,1125,551,1154,519,471,7,30,1859,2016,400,9,-78,1938,1249073.0,896.0,642.0,378.0,1063.0,1012.53,1260863.0,992137.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,83266.0,1.0,0.0,0.0
新北市三重區光華里,新北市,65000020,三重區,65000020-057,光華里,2098,93.36,48863.42,35.62,12.48,23.14,185.49,193,1547,358,8,96,515,206,600,254,210,1,15,909,868,195,5,20,931,508584.0,838.0,603.0,345.0,1017.0,884.91,510677.0,405400.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,42052.0,1.0,0.0,0.0
新北市三重區光輝里,新北市,65000020,三重區,65000020-036,光輝里,1560,98.47,18335.47,32.43,11.29,21.14,187.22,133,1178,249,5,58,367,153,412,246,168,3,15,672,660,131,-7,-20,632,344599.0,783.0,561.0,365.0,922.0,811.8,344630.0,281203.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,81419.0,1.0,2.0,1.0
新北市三重區光陽里,新北市,65000020,三重區,65000020-014,光陽里,6444,98.03,41837.64,29.35,11.06,18.29,165.34,551,4982,911,17,378,1688,792,1669,758,545,9,37,2785,2846,511,10,-85,2593,1983317.0,934.0,642.0,399.0,1124.0,996.48,2005177.0,1596729.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,152473.0,1.0,0.0,0.0
