,鄉鎮市區代碼,含車位_各建物型態整體中位數房價,不含車位_各建物型態整體中位數房價
0,65000010,17370000.0,10355000.0
1,65000020,17350000.0,9360000.0
2,65000030,17500000.0,10900000.0
3,65000040,19120000.0,12000000.0
4,65000050,14132500.0,11000000.0
5,65000060,15580000.0,12000000.0
6,65000070,12755000.0,7655000.0
7,65000080,8800000.0,5950000.0
8,65000090,12000000.0,6600000.0
9,65000100,9600000.0,6900000.0
10,65000110,12300000.0,9000000.0
11,65000120,8000000.0,2450000.0
12,65000130,13800000.0,10315000.0
13,65000140,16500000.0,9800000.0
14,65000150,10300000.0,9150000.0
15,65000160,12500000.0,7920000.0
16,65000170,13200000.0,12360000.0
17,65000180,10565000.0,7265000.0
18,65000190,8190000.0,19630000.0
19,65000200,4545000.0,11500000.0
20,65000210,3625000.0,2080000.0
21,65000220,4545000.0,2815000.0
22,65000230,7700000.0,6250000.0
23,65000240,4545000.0,10000000.0
24,65000250,4545000.0,2500000.0
25,65000260,2600000.0,1900000.0
26,65000270,6800000.0,5800000.0
27,65000280,2000000.0,1170000.0
28,65000290,4545000.0,1700000.0
29,63000010,31640000.0,18800000.0
30,63000020,31650000.0,17000000.0
31,63000030,45000000.0,22800000.0
32,63000040,27250000.0,14500000.0
33,63000050,31500000.0,18000000.0
34,63000060,29930000.0,13090000.0
35,63000070,23365000.0,10500000.0
36,63000080,21500000.0,13200000.0
37,63000090,31400000.0,15650000.0
38,63000100,26090000.0,15665000.0
39,63000110,30000000.0,16100000.0
40,63000120,22000000.0,12975000.0
