,鄉鎮市區代碼,含車位_各建物型態整體中位數房價,不含車位_各建物型態整體中位數房價
200,63000010,33250000.0,17700000.0
201,63000020,29090000.0,15800000.0
202,63000030,36840000.0,22000000.0
203,63000040,24380000.0,12180000.0
204,63000050,35400000.0,16000000.0
205,63000060,20000000.0,9915000.0
206,63000070,24000000.0,11000000.0
207,63000080,21800000.0,12000000.0
208,63000090,26650000.0,14100000.0
209,63000100,27500000.0,14500000.0
210,63000110,29802500.0,13620000.0
211,63000120,13880000.0,11500000.0
250,65000010,17500000.0,9880000.0
251,65000020,15000000.0,8800000.0
252,65000030,15600000.0,9590000.0
253,65000040,17500000.0,11130000.0
254,65000050,14350000.0,9800000.0
255,65000060,16000000.0,9800000.0
256,65000070,11500000.0,7483149.0
257,65000080,7050000.0,6250000.0
258,65000090,10675000.0,6200000.0
259,65000100,9800000.0,6700000.0
260,65000110,10500000.0,8000000.0
261,65000120,4700000.0,2000000.0
262,65000130,13500000.0,8600000.0
263,65000140,14800000.0,10500000.0
264,65000150,9400000.0,9180000.0
265,65000160,10800000.0,7500000.0
266,65000170,12700000.0,11010000.0
267,65000180,12025000.0,6775000.0
268,65000190,7500000.0,4300000.0
269,65000200,3756000.0,1683000.0
270,65000210,3200000.0,2270000.0
271,65000220,3756000.0,2100000.0
272,65000230,7500000.0,5350000.0
273,65000240,3756000.0,1683000.0
274,65000250,3756000.0,1800000.0
275,65000260,2380000.0,2500000.0
276,65000270,4000000.0,3250000.0
277,65000280,4500000.0,1265000.0
278,65000290,3756000.0,1250000.0
